rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,shield_cutoff_timestep
0.3964921832084656,90.38,1,6884,49152,7,,,,,,,,,,,
0.4616953134536743,79.61,2,5422,98304,18,-0.007398491995930575,-0.007016539573669434,-0.010485747829079628,0.2,0.007972799146955367,10,-1.9321976569170753,0.0003,0.014329753,0.07501017252604167,
0.6228749752044678,66.94,3,5044,147456,29,-0.014159422363021198,0.6412752270698547,0.0066981143318116665,0.2,0.009312840060495849,20,-1.8978399315228065,0.0003,0.013958805,0.162646484375,
0.6027109622955322,47.23,4,4862,196608,40,-0.021111569082374142,0.7167783975601196,-0.0016580894589424133,0.2,0.013623764227183225,30,-1.8462308083971342,0.0003,0.014819038,0.21887613932291666,
0.7112929821014404,38.03,5,4754,245760,51,-0.020978322234744457,0.6970832347869873,-0.030141586437821388,0.2,0.015108465927187353,40,-1.7637957954158385,0.0003,0.015566039,0.21126708984375,
0.0,9.93,6,4585,294912,64,-0.016352620201481236,0.6435146331787109,-0.01583915576338768,0.2,0.014495496221934445,50,-1.6615466073155403,0.0003,0.013897578,0.192572021484375,250008
0.022371090948581696,18.42,7,4619,344064,74,-0.02819587687214759,0.4011038541793823,-0.01720002107322216,0.2,0.022243328887270764,60,-1.6620048904791473,0.0003,0.01611272,0.2884602864583333,
0.11464843153953552,33.26,8,4654,393216,84,-0.03267608420404334,0.40365684032440186,-0.025581566616892815,0.2,0.011790944416619216,70,-1.6369571262970566,0.0003,0.030039107,0.35794474283854166,
0.30491796135902405,41.65,9,4680,442368,94,-0.025135809550314057,0.5244933366775513,-0.0066660125739872456,0.2,0.01380274844317076,80,-1.5350303197279573,0.0003,0.021003699,0.2464111328125,
0.4346054494380951,31.47,10,4695,491520,104,-0.02464080905119772,0.5030072927474976,-0.001930885948240757,0.2,0.019564278048831815,90,-1.4025715639814735,0.0003,0.016007034,0.24024251302083333,
0.48727738857269287,29.12,11,4624,540672,116,-0.023067775836716466,0.5508868098258972,-0.0025951936841011047,0.2,0.021401826302947787,100,-1.257343792791168,0.0003,0.017626267,0.22841389973958334,
