time/fps,time/total_timesteps,shield/actions_allowed,rollout/ep_rew_mean,time/iterations,shield/actions_block_ignored,shield/actions_blocked,shield/constant_delta,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,shield/stage,shield/transition_timestep,shield/ignore_prob
9072,49152,18251,0.0819285660982132,1,0,2787,0.9,5,228.64,,,,,,,,,,,,,
6020,98304,37791,0.14875000715255737,2,0,5760,,16,219.4,0.0003,0.001029145091282165,10,0.014704257,0.2,0.15784912109375,-1.9347608734543125,-0.005439378665020437,-0.005169527139514685,-0.18699681758880615,,,
5435,147456,57935,0.3315356969833374,3,0,8797,,27,175.95,0.0003,0.0020071976596833943,20,0.00954499,0.2,0.10379842122395834,-1.9052495247373977,-0.007238212830998236,-0.022617757320404053,0.3176248073577881,,,
5222,196608,79299,0.4558213949203491,4,0,11962,,37,144.97,0.0003,0.004502825551450466,30,0.011167545,0.2,0.14176839192708332,-1.873112221310536,-0.009571410927916683,-0.008365982212126255,0.40652644634246826,,,
5091,245760,102575,0.6318214535713196,5,0,15656,,48,103.09,0.0003,0.00770287433018287,40,0.011409518,0.2,0.15372314453125,-1.826335129265984,-0.011609381840996018,-0.0026970021426677704,0.5088047385215759,,,
4995,294912,127357,0.6964285969734192,6,0,19702,,59,85.0,0.0003,0.010794164682253419,50,0.012418454,0.2,0.178265380859375,-1.7559096038341522,-0.015334057737709373,0.007421070709824562,0.5914783477783203,,,
4923,344064,154474,0.7474642992019653,7,0,24060,,69,62.96,0.0003,0.011963441239883348,60,0.013428445,0.2,0.20273640950520833,-1.6711982011795044,-0.017661463492671222,-0.005049346014857292,0.647249698638916,,,
4842,393216,184222,0.7973214983940125,8,0,28933,,81,51.26,0.0003,0.011692408297676593,70,0.015010223,0.2,0.22607828776041666,-1.5368960110470653,-0.01944335486047445,-0.022836240008473396,0.6695430874824524,,,
4768,442368,216361,0.8244285583496094,9,0,34098,,92,46.38,0.0003,0.010276867659316243,80,0.017255029,0.2,0.25588582356770834,-1.3724398451546829,-0.01997006564924959,-0.019022062420845032,0.6510114669799805,,,
4728,491520,251000,0.8571428656578064,10,0,39414,,103,40.0,0.0003,0.007253174161936234,90,0.016228797,0.2,0.21909383138020833,-1.2045637275402745,-0.01575457780151434,-0.006634268909692764,0.6415246725082397,,,
4691,540672,287306,0.872499942779541,11,0,45044,,115,35.7,0.0003,0.005426468067768534,100,0.014786355,0.2,0.16691691080729168,-1.0457225986135503,-0.010366229892254827,-0.006747598294168711,0.6143176555633545,,,
4657,589824,325448,0.8702857494354248,12,0,50368,,126,33.6,0.0003,0.0044987523197050905,110,0.008947972,0.2,0.12884114583333334,-0.9196664326824248,-0.008227857633755775,-0.011707553640007973,0.5972790718078613,,,
4631,638976,364389,0.8579999804496765,13,0,55958,,137,31.45,0.0003,0.003465327395800462,120,0.0070680007,0.2,0.10076700846354167,-0.8078232139659425,-0.006673267871641049,-0.0025418479926884174,0.6099927425384521,,,
4605,688128,404221,0.8892500400543213,14,0,61512,,149,31.01,0.0003,0.0034846680011469287,130,0.006100441,0.2,0.08349405924479167,-0.734305594706287,-0.00521492105544894,-0.005306622013449669,0.5963174700737,,,
4584,737280,444743,0.8780715465545654,15,0,67185,,160,28.58,0.0003,0.0026780956499957635,140,0.0054023564,0.2,0.079058837890625,-0.6557180165313184,-0.005124009905921411,-0.003855003509670496,0.6166638135910034,,,
4565,786432,486193,0.8788571953773499,16,0,72459,,172,28.36,0.0003,0.0026993087960969814,150,0.004863378,0.2,0.059427897135416664,-0.5850722695700824,-0.003165706317789348,-0.0013789726654067636,0.6083821058273315,,,
4547,835584,528107,0.8892857432365417,17,0,77752,,183,28.5,0.0003,0.0027016395616252945,160,0.0038146663,0.2,0.050089518229166664,-0.5243409403289357,-0.0029872256497280127,-0.0017312549753114581,0.5896700024604797,,,
4529,884736,570693,0.880928635597229,18,0,82828,,195,27.78,0.0003,0.0028187623100772424,170,0.0038818188,0.2,0.04608561197916667,-0.47124809784193833,-0.002370381331760048,-0.004360699560493231,0.5682021379470825,,,
4507,933888,613622,0.8913214802742004,19,0,87854,,207,27.65,0.0003,0.002456671706143728,180,0.0037613984,0.2,0.043267822265625,-0.42092988517445823,-0.0019552168206549442,0.002719926182180643,0.6053644418716431,,,
4493,983040,656790,0.8897143006324768,20,0,92827,,218,28.12,0.0003,0.00289631942014239,190,0.0033579667,0.2,0.038136800130208336,-0.3826216602853189,-0.0016315800034135465,-0.0036315512843430042,0.5544202327728271,,,
4473,1032192,700430,0.8827499151229858,21,0,97546,,230,27.29,0.0003,0.002921137574897633,200,0.0028157185,0.2,0.032358805338541664,-0.3472582773771137,-0.0013357314332097304,-0.006835406646132469,0.5485705137252808,0,1000008,0.25
4463,1081344,744309,0.883892834186554,22,0,102130,,242,26.96,0.0003,0.002930660262366776,210,0.002443084,0.2,0.028236897786458333,-0.3214563054343065,-0.001214109271495545,-0.002844523638486862,0.5636662244796753,,,
4450,1130496,788312,0.8915358185768127,23,0,106670,,254,27.65,0.0003,0.002997059523234687,220,0.0028184734,0.2,0.024776204427083334,-0.2891630994000783,-0.000992240347174326,-0.007070209830999374,0.5436340570449829,,,
4440,1179648,832511,0.8830357193946838,24,0,111090,,265,27.19,0.0003,0.0026295000921891186,230,0.002090079,0.2,0.021321614583333332,-0.27535233257027963,-0.0008780751399172004,-0.0033634104765951633,0.5660378336906433,,,
4431,1228800,877152,0.8580000400543213,25,0,115157,,277,25.91,0.0003,0.002752513246256664,240,0.0027921807,0.2,0.0239013671875,-0.2624239929020405,-0.0010011054900436042,0.0009055845439434052,0.5581682920455933,,,
4420,1277952,921679,0.8805714249610901,26,0,119389,,289,27.91,0.0003,0.0031318006270642704,250,0.0021634724,0.2,0.023274739583333332,-0.2443185977327327,-0.0015307541776564903,-0.002012362238019705,0.5263088941574097,,,
4411,1327104,966316,0.8861070871353149,27,0,123574,,300,29.11,0.0003,0.0026400117911180134,260,0.0019778225,0.2,0.020159912109375,-0.23591638033588727,-0.0008026763955664743,-0.004505751188844442,0.57317054271698,,,
4401,1376256,1010785,0.9025357961654663,28,0,127963,,312,27.29,0.0003,0.002825047566026721,270,0.0032133048,0.2,0.017991129557291666,-0.23037682191158335,-0.0007644702684653263,0.0021758987568318844,0.5526422262191772,,,
4393,1425408,1055112,0.8834642767906189,29,0,132497,,324,27.08,0.0003,0.002504853654075608,280,0.0029348657,0.2,0.020579020182291668,-0.23339023596296707,-0.001018242258578539,0.002386505249887705,0.5566006898880005,,,
4385,1474560,1099504,0.8940001130104065,30,0,136992,,336,26.93,0.0003,0.0025040810124361693,290,0.0019624052,0.2,0.015301513671875,-0.22997085468377917,-0.0007488029420225454,-0.002080076839774847,0.5661801099777222,,,
4380,1523712,1144162,0.9004642367362976,31,0,141241,,347,27.87,0.0003,0.0028932427430239235,300,0.0030486595,0.2,0.021579996744791666,-0.22020935968030245,-0.0012214936542780683,0.0008524124277755618,0.5395876169204712,,,
4374,1572864,1189114,0.8939642906188965,32,0,145210,,359,26.92,0.0003,0.0029175058015122584,310,0.002666465,0.2,0.01787109375,-0.21251403643594433,-0.0012641669856748195,0.00034020806197077036,0.5417361259460449,,,
4367,1622016,1234037,0.8952142596244812,33,0,149240,,371,26.56,0.0003,0.0025297147778474026,320,0.002081713,0.2,0.015118408203125,-0.20507828472182155,-0.0011486110369636057,-0.0032107180450111628,0.5753927230834961,,,
4362,1671168,1278843,0.8774642944335938,34,0,153399,,383,25.97,0.0003,0.0026732177385080528,330,0.0030263474,0.2,0.017506917317708332,-0.19895640205747137,-0.0008141644734375101,-0.006249512545764446,0.5565035343170166,,,
4357,1720320,1323582,0.8833929300308228,35,0,157606,,394,27.11,0.0003,0.002729287275784979,340,0.0026218637,0.2,0.019240315755208334,-0.19867295787359276,-0.00128911467151435,0.013383603654801846,0.5507375001907349,,,
4352,1769472,1368498,0.8907142877578735,36,0,161651,,406,28.05,0.0003,0.0024606397035313423,350,0.0017287824,0.2,0.015431722005208334,-0.18634548725094646,-0.0006088617780430164,0.0029150620102882385,0.5839422941207886,,,
4348,1818624,1413567,0.865892767906189,37,0,165533,,418,26.63,0.0003,0.003236408959188945,360,0.0038673996,0.2,0.018904622395833334,-0.18503971712198108,-0.0014658069014937306,-0.005092848092317581,0.5087758898735046,,,
4339,1867776,1458598,0.8823214173316956,38,0,169397,,430,27.88,0.0003,0.0036033833430337836,370,0.009423946,0.2,0.022505696614583334,-0.2107964111259207,-0.0017722179930691102,0.004631333984434605,0.49692827463150024,,,
4330,1916928,1503552,0.8482500314712524,39,0,173374,,442,25.84,0.0003,0.0026680111013168547,380,0.0023702926,0.2,0.027071126302083335,-0.2245614617674922,-0.0023667214386781173,0.009005580097436905,0.5520519018173218,,,
4326,1966080,1548738,0.8803215026855469,40,0,177130,,454,28.37,0.0003,0.002802998553670477,390,0.046163145,0.2,0.026985677083333333,-0.19665313533041626,-0.0030067819756671573,-0.001828515436500311,0.5515838861465454,,,
4320,2015232,1593953,0.8862857222557068,41,0,180771,,466,29.08,0.0003,0.0032745372503995896,400,0.0029320158,0.2,0.0233154296875,-0.21423307318085183,-0.002032736194572256,0.004137679934501648,0.5332576036453247,1,2000016,0.5
4312,2064384,1639072,0.894428551197052,42,0,184589,,478,26.8,0.0003,0.0029233691098246102,410,0.011164638,0.2,0.026503499348958334,-0.19602320354121427,-0.0020521480463230545,-0.0009224842651747167,0.5540331602096558,,,
4305,2113536,1683953,0.883392870426178,43,0,188676,,490,27.09,0.0003,0.002907171232436667,420,0.00212855,0.2,0.017596435546875,-0.18425241039755444,-0.001133988734848875,-0.0011448065051808953,0.5496063232421875,,,
4298,2162688,1729028,0.8398571610450745,44,0,192574,,503,25.5,0.0003,0.0024944917614144893,430,0.0021831403,0.2,0.015348307291666667,-0.1858641336594398,-0.0010775481350719929,0.006185219623148441,0.5714657306671143,,,
4297,2211840,1773547,0.8720356822013855,45,0,196599,,514,27.49,0.0003,0.0027283185486642954,440,0.015130953,0.2,0.021181233723958335,-0.20785753041661034,-0.0013803758200689722,0.0005820614169351757,0.5658345818519592,,,
4294,2260992,1818104,0.8736785650253296,46,0,200734,,526,27.5,0.0003,0.0025799518368633772,450,0.0030351542,0.2,0.028365071614583334,-0.22743600154450785,-0.0016344176980055635,0.003120062407106161,0.5710992217063904,,,
4292,2310144,1863020,0.8745357990264893,47,0,204583,,538,26.81,0.0003,0.0028668804098439674,460,0.0032231438,0.2,0.021990966796875,-0.20578307003403704,-0.0013766139068441892,0.0016540416982024908,0.5411858558654785,,,
