rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,shield/transition_timestep,shield/delta,shield/stage
0.06307142972946167,7012,49152,7,1,234.3,,,,,,,,,,,,,
0.12896429002285004,5646,98304,17,2,222.97,0.0006427159082287896,0.010190182,0.008780780248343945,0.057293701171875,10,0.2,-0.029535531997680664,-0.003267235953292887,0.0003,-1.9393110149229567,,,
0.25510716438293457,5251,147456,28,3,189.52,0.0014624857513505654,0.011468305,-0.0038530640304088593,0.10694580078125,20,0.2,0.3372153639793396,-0.007223960171662232,0.0003,-1.920262228883803,105744,0.7,1
0.3856428563594818,5101,196608,38,4,156.51,0.0034826531939567457,0.0112149045,-0.022701598703861237,0.12967325846354166,30,0.2,0.4513951539993286,-0.009583145632617137,0.0003,-1.8912798075005413,158832,0.5,2
0.5328929424285889,5010,245760,49,5,117.73,0.005813680671538654,0.0123675885,-0.02508838102221489,0.15703938802083334,40,0.2,0.5320751667022705,-0.012077800594670406,0.0003,-1.8473040367787084,,,
0.6481071710586548,4928,294912,59,6,91.4,0.008953587830183097,0.012419067,-0.006591194774955511,0.1736083984375,50,0.2,0.5658965706825256,-0.014368587403441779,0.0003,-1.7851841626067957,251736,0.3,3
0.42992860078811646,4862,344064,70,7,65.22,0.011701381545329544,0.0143618705,-0.025605816394090652,0.21330769856770834,60,0.2,0.623715877532959,-0.018751099513732092,0.0003,-1.6862283951292436,319488,0.1,4
0.5470714569091797,4808,393216,81,8,52.41,0.014922754553845152,0.015275528,-0.0019195391796529293,0.20688883463541666,70,0.2,0.46996593475341797,-0.015999871117674046,0.0003,-1.586035231873393,,,
0.7254643440246582,4762,442368,92,9,51.04,0.020298595582911125,0.015685437,-0.0013436488807201385,0.20423583984375,80,0.2,0.4259619116783142,-0.01786461971338819,0.0003,-1.4824082912877201,,,
0.7729285955429077,4734,491520,103,10,38.1,0.01962039994687075,0.01590249,-0.004292725585401058,0.21861775716145834,90,0.2,0.44743412733078003,-0.019914516577167283,0.0003,-1.313880363603433,,,
0.8282500505447388,4647,540672,116,11,37.42,0.015226035915353956,0.0136552835,-0.0032928483560681343,0.18430989583333332,100,0.2,0.4801042675971985,-0.01648385306113293,0.0003,-1.1312978155910969,508032,0.0,5
0.8502499461174011,4674,589824,126,12,33.64,0.009858795733938072,0.010671079,-0.006357524078339338,0.15242513020833334,110,0.2,0.5380806922912598,-0.013180425776348178,0.0003,-0.9417914628051222,,,
0.873964250087738,4698,638976,136,13,29.79,0.006656406979285142,0.008233778,-0.0020671456586569548,0.12744547526041666,120,0.2,0.5418219566345215,-0.009280972703830532,0.0003,-0.7954193538365265,,,
0.8771427869796753,4716,688128,145,14,28.84,0.004699322823095524,0.007284473,-0.02387138083577156,0.10575154622395834,130,0.2,0.5491105914115906,-0.008037966644284704,0.0003,-0.6613779467220108,,,
