time/fps,time/total_timesteps,time/iterations,shield/stage,rollout/ep_rew_mean,shield/transition_timestep,time/time_elapsed,shield/delta,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss
6857,49152,1,3,0.0776679739356041,7056,7,0.3,97.74,,,,,,,,,,
5438,98304,2,,0.08065624535083771,,18,,90.03,0.0051223282584639184,0.011588022,0.005835007876157761,0.07320556640625,10,0.2,-0.02514517307281494,-0.0033402256583940472,0.0003,-1.9354946452503403
5076,147456,3,,0.20530466735363007,,29,,68.64,0.0027067424695815133,0.0110164285,-0.008274904452264309,0.08010050455729166,20,0.2,0.6961783170700073,-0.0074156117842600604,0.0003,-1.9207550408318639
4916,196608,4,,0.25874611735343933,,39,,55.12,0.005612075109456782,0.0133496225,-0.006664305925369263,0.15802408854166666,30,0.2,0.7105547189712524,-0.015372588708851253,0.0003,-1.8842001208414634
4817,245760,5,,0.3908359408378601,,51,,49.34,0.01033890099133714,0.012324394,-0.04308208078145981,0.183984375,40,0.2,0.7116395235061646,-0.018836173643164027,0.0003,-1.835582285063962
4743,294912,6,,0.4951249957084656,,62,,41.75,0.013559920236487718,0.014003307,-0.011267256923019886,0.201507568359375,50,0.2,0.7122259140014648,-0.02133976001884245,0.0003,-1.7574603969231248
4685,344064,7,,0.5754609704017639,,73,,38.01,0.015771284713991918,0.013201699,-0.00018242187798023224,0.208099365234375,60,0.2,0.6928870677947998,-0.020245703029164966,0.0003,-1.6655900799358885
4637,393216,8,,0.6049374938011169,,84,,30.84,0.017559159331237122,0.0142141655,-0.025371287018060684,0.24008992513020833,70,0.2,0.6416451930999756,-0.021025195037630815,0.0003,-1.5513723264758785
4577,442368,9,4,0.03945312649011612,408456,96,0.1,14.64,0.01668009390947797,0.015799208,-0.008450190536677837,0.225189208984375,80,0.2,0.5612756609916687,-0.018300316259410466,0.0003,-1.413145106099546
4529,491520,10,,0.13060936331748962,,108,,17.86,0.04416950705538814,0.015301965,0.025793911889195442,0.186285400390625,90,0.2,0.22930163145065308,-0.01843798889882843,0.0003,-1.3779778763651849
4409,540672,11,,0.3351718783378601,,122,,24.45,0.030359459213408022,0.018062664,-0.0305401049554348,0.2592264811197917,100,0.2,0.3838297724723816,-0.029770388335115663,0.0003,-1.4060164372747144
4384,589824,12,,0.4388085901737213,,134,,26.56,0.027868403192648352,0.015928209,-0.011181741021573544,0.23278401692708334,110,0.2,0.4903719425201416,-0.026119175950831654,0.0003,-1.2882704339300592
4360,638976,13,,0.5972421765327454,,146,,25.81,0.02754556778721356,0.017285192,-0.016697362065315247,0.21704508463541666,120,0.2,0.5078601837158203,-0.021996796772024634,0.0003,-1.1515991120909652
4338,688128,14,,0.7115468382835388,,158,,26.66,0.02466983043705113,0.01663646,-0.0031853318214416504,0.18623250325520832,130,0.2,0.48694849014282227,-0.017243727642077527,0.0003,-0.9665221665675442
4318,737280,15,,0.7059609889984131,,170,,22.34,0.019300745824875776,0.012646471,-0.014645881950855255,0.131207275390625,140,0.2,0.43803197145462036,-0.010343568305324879,0.0003,-0.8208155854915579
4298,786432,16,,0.730355441570282,,182,,20.84,0.017577938182027235,0.006890333,0.002907796762883663,0.08582967122395833,150,0.2,0.3952728509902954,-0.005409026324984249,0.0003,-0.6987791713948052
4277,835584,17,,0.7669100761413574,,195,,21.34,0.018009810713071298,0.006179696,0.005677363369613886,0.08100179036458334,160,0.2,0.3464787006378174,-0.004487806765306838,0.0003,-0.5976180233371754
4264,884736,18,5,0.7800741791725159,882768,207,0.0,20.57,0.018046419353049716,0.005757882,0.003035465721040964,0.06609700520833334,170,0.2,0.3338557481765747,-0.0034756530866313067,0.0003,-0.5122022472632428
4294,933888,19,,0.6988984942436218,,217,,18.13,0.017094988330306173,0.0036786476,0.0035739517770707607,0.05352986653645833,180,0.2,0.31894809007644653,-0.0024043266785156447,0.0003,-0.45127256293781104
4278,983040,20,,0.7292147874832153,,229,,17.94,0.016284719410759863,0.00383634,0.0010428475216031075,0.051706949869791664,190,0.2,0.3146425485610962,-0.0020911665784903257,0.0003,-0.41019732474039
4260,1032192,21,,0.7824648022651672,,242,,20.34,0.016852469851437492,0.0030542146,0.0039098234847188,0.03818155924479167,200,0.2,0.3075428605079651,-0.0014436043737684182,0.0003,-0.3690545441272358
4279,1081344,22,,0.7979648113250732,,252,,21.13,0.015905912793338455,0.0033489696,0.0067082978785037994,0.036149088541666666,210,0.2,0.3084098696708679,-0.0016654071087032207,0.0003,-0.32758232654693226
4297,1130496,23,,0.8038711547851562,,263,,19.86,0.01603106433734259,0.0029147912,0.004604981280863285,0.034417724609375,220,0.2,0.30415505170822144,-0.0012033695075236513,0.0003,-0.32220868157843746
4317,1179648,24,,0.7386523485183716,,273,,18.32,0.01813835134683662,0.005361729,0.013863231055438519,0.029453531901041666,230,0.2,0.29108673334121704,-0.001102203014609889,0.0003,-0.28038519476540386
4339,1228800,25,,0.7015703320503235,,283,,18.31,0.017000439064819753,0.0024975927,0.006077289581298828,0.026106770833333334,240,0.2,0.2944675087928772,-0.0008129950261718477,0.0003,-0.2633598527871072
4359,1277952,26,,0.7396016120910645,,293,,18.53,0.01750891319558529,0.005913953,0.006453132256865501,0.026092529296875,250,0.2,0.291431188583374,-0.0012178425434588764,0.0003,-0.23602727639178436
4375,1327104,27,,0.7390391826629639,,303,,18.42,0.017131079916483334,0.003736378,0.005593854933977127,0.027164713541666666,260,0.2,0.284201443195343,-0.0011285265127298771,0.0003,-0.2206118552169452
4393,1376256,28,,0.7842578887939453,,313,,19.28,0.016726920427997054,0.0023275495,0.00717812729999423,0.019356282552083333,270,0.2,0.29251569509506226,-0.0007652580852057629,0.0003,-0.20414997995831072
4409,1425408,29,,0.7937305569648743,,323,,19.53,0.018079661499359644,0.0030603718,0.009195799939334393,0.022955322265625,280,0.2,0.2855265736579895,-0.0008997846303221498,0.0003,-0.20584818484106412
4423,1474560,30,,0.7603397965431213,,333,,17.97,0.01693326542978563,0.0030960746,0.010559860616922379,0.022601318359375,290,0.2,0.28709983825683594,-0.0008457745584867856,0.0003,-0.19222962389855336
4437,1523712,31,,0.7604453563690186,,343,,18.23,0.016590301808173537,0.003446643,0.008947470225393772,0.020768229166666666,300,0.2,0.2986973524093628,-0.0007205109447265082,0.0003,-0.17203242815254877
4450,1572864,32,,0.7394610047340393,,353,,18.06,0.0172571673814673,0.0019759014,0.009546898305416107,0.015899658203125,310,0.2,0.28762465715408325,-0.0007585215895232978,0.0003,-0.15926766500342637
