rollout/ep_rew_mean,shield/actions_blocked,shield/actions_block_ignored,shield/constant_delta,shield/actions_allowed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/learning_rate,shield/ignore_prob,shield/transition_timestep,shield/stage
0.0633571445941925,2817,0,0.9,18249,49152,1,232.24,5,9266,,,,,,,,,,,,,
0.15928572416305542,5298,0,,37117,98304,2,209.85,15,6209,10,0.2,-0.02245330810546875,0.0007627456216141582,-1.9388495212420822,-0.003899736356531018,0.009457917,0.0007116629944675879,0.04650065104166667,0.0003,,,
0.2911071479320526,7860,0,,57315,147456,3,184.37,26,5572,20,0.2,0.32630455493927,0.003751274198293686,-1.9122207950179775,-0.008013126060601887,0.011820756,0.0020242773479973645,0.11600341796875,0.0003,0.25,100008,0
0.48328572511672974,10798,0,,78823,196608,4,143.84,37,5224,30,0.2,0.4433317184448242,-0.030550912022590637,-1.881302805431187,-0.0111298689911564,0.012283637,0.004146237785668442,0.13774210611979168,0.0003,,,
0.6251785159111023,14191,0,,101014,245760,5,100.35,48,5037,40,0.2,0.5247349739074707,-0.026087727397680283,-1.8261466729144256,-0.012055336841937485,0.01205719,0.007182817667489872,0.148974609375,0.0003,0.5,200016,1
0.6967143416404724,18014,0,,125661,294912,6,79.38,59,4952,50,0.2,0.5935618877410889,0.0008536879904568195,-1.763650311343372,-0.015201951816197833,0.014187448,0.009802060707443161,0.18567301432291666,0.0003,,,
0.7572501301765442,22306,0,,152173,344064,7,65.25,70,4861,60,0.2,0.6479578018188477,-0.016432184725999832,-1.6685491645087798,-0.017329311290207747,0.013594021,0.01171014163264772,0.19326985677083333,0.0003,0.75,300000,2
0.7871071696281433,26854,0,,181303,393216,8,51.92,82,4776,70,0.2,0.6579598188400269,-0.0050394427962601185,-1.5343494798367223,-0.019339337273959246,0.014927685,0.011424928339450465,0.23763224283854167,0.0003,,,
0.8251785039901733,31994,0,,212765,442368,9,43.39,94,4699,80,0.2,0.6498631834983826,-0.03156498819589615,-1.3813445469364525,-0.018367059835024218,0.016381487,0.009651824700267753,0.22637532552083334,0.0003,1,400008,3
0.8501070141792297,37581,0,,246361,491520,10,39.24,105,4637,90,0.2,0.628511905670166,-0.024143479764461517,-1.2150198401883245,-0.015986361332276527,0.01703172,0.007356643876604115,0.20008138020833333,0.0003,,,
0.8740714192390442,43183,0,,282024,540672,11,35.26,118,4579,100,0.2,0.6068398952484131,0.01077100820839405,-1.0675913688416283,-0.010990098476516627,0.010571708,0.005682723236047119,0.16508382161458332,0.0003,,,
