time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
5,8297,49152,1,101.23,0.005785714369267225,,,,,,,,,,
15,6355,98304,2,98.01,0.008392857387661934,-0.013025022111833096,-1.9356260302787025,10,0.00013412018844671063,0.0003,0.13797200520833333,0.014800362,0.2,-1.0916836261749268,-0.00641289888068665
24,5898,147456,3,209.48,0.029678571969270706,-0.007991702295839787,-1.9136168284962574,20,0.00048601046151664683,0.0003,0.10884602864583333,0.021617442,0.2,0.05781048536300659,-0.005482842400791318
34,5697,196608,4,192.53,0.0897500067949295,-0.012930700555443764,-1.8926105377574762,30,0.0005940139670542521,0.0003,0.13214518229166666,0.012855302,0.2,0.21526038646697998,-0.006899219669291293
43,5597,245760,5,151.49,0.35603567957878113,-0.013812140561640263,-1.8614832659562428,40,0.0014785726466319223,0.0003,0.15124104817708334,0.011255071,0.2,0.37163472175598145,-0.00792237675893072
53,5524,294912,6,124.1,0.4848928451538086,-0.010224885307252407,-1.824889437109232,50,0.0053321587004271954,0.0003,0.15663655598958334,0.012007107,0.2,0.453668475151062,-0.011413694057137037
62,5474,344064,7,86.84,0.629178524017334,-0.004208473954349756,-1.7707752538224062,60,0.008521892184216995,0.0003,0.18842569986979166,0.013465629,0.2,0.5410342216491699,-0.013950865399237955
72,5437,393216,8,73.35,0.6574285626411438,-0.007801996544003487,-1.677242807423075,70,0.011868037908910386,0.0003,0.21362711588541666,0.014151166,0.2,0.5937406420707703,-0.01641802167056691
82,5393,442368,9,54.62,0.7525357007980347,-0.009241797029972076,-1.5625094262883068,80,0.013032210865640081,0.0003,0.221966552734375,0.014757212,0.2,0.6362258195877075,-0.01852672689977529
91,5349,491520,10,45.0,0.7596429586410522,-0.0006452100351452827,-1.414036262780428,90,0.013381808858927495,0.0003,0.23424275716145834,0.016252957,0.2,0.603258490562439,-0.019926966722050566
103,5204,540672,11,38.9,0.8219642639160156,0.002620778977870941,-1.2598711367696525,100,0.010952490877874274,0.0003,0.216796875,0.014685494,0.2,0.6048016548156738,-0.01666215632103558
113,5199,589824,12,33.6,0.8519284725189209,-0.00961490161716938,-1.100481042265892,110,0.008937472808368815,0.0003,0.20349324544270833,0.013779308,0.2,0.5806695222854614,-0.015065874148664686
123,5194,638976,13,30.65,0.8712499737739563,-0.015402045100927353,-0.9551917549843589,120,0.0079861367893803,0.0003,0.15215861002604167,0.010942076,0.2,0.5195719003677368,-0.010234499971556944
132,5186,688128,14,29.2,0.867642879486084,-0.011464593932032585,-0.8149558538881441,130,0.00736852058871591,0.0003,0.12313028971354166,0.007844658,0.2,0.47939711809158325,-0.007594664859304127
142,5186,737280,15,27.0,0.8839643001556396,-0.011088676750659943,-0.710218079512318,140,0.006592217559712784,0.0003,0.10467325846354167,0.0070940703,0.2,0.4301913380622864,-0.0069486707196726154
151,5178,786432,16,26.21,0.8316428661346436,0.003696948289871216,-0.6164489687420428,150,0.006393026125685234,0.0003,0.09188435872395834,0.00611165,0.2,0.44214797019958496,-0.005790773447006359
161,5167,835584,17,24.62,0.8734643459320068,-0.007161341607570648,-0.5253195075783879,160,0.007801524219576095,0.0003,0.07246907552083333,0.005343338,0.2,0.3646652102470398,-0.003962517518205763
171,5169,884736,18,24.84,0.8733928799629211,0.01108485646545887,-0.4602107079854856,170,0.007592714012086314,0.0003,0.06051228841145833,0.004726345,0.2,0.3611803650856018,-0.0035411461805779252
180,5171,933888,19,23.01,0.8796785473823547,-1.2035015970468521e-05,-0.4207250740844756,180,0.007019955046356093,0.0003,0.05868733723958333,0.0046223667,0.2,0.36107945442199707,-0.003530381430179356
192,5107,983040,20,23.33,0.8978928327560425,0.016726858913898468,-0.3791216465954979,190,0.007916036003371119,0.0003,0.05133056640625,0.0041455454,0.2,0.3532010316848755,-0.0027323684992704026
204,5041,1032192,21,22.58,0.8618215322494507,-0.008810452185571194,-0.3493135424796492,200,0.007894508406813354,0.0003,0.04952392578125,0.005288998,0.2,0.3245845437049866,-0.002963678984330424
214,5039,1081344,22,23.91,0.8858928680419922,-0.003951879218220711,-0.33542640207645796,210,0.007855943238428153,0.0003,0.06663411458333333,0.00994711,0.2,0.3264297842979431,-0.004868085401358258
224,5035,1130496,23,24.85,0.892035722732544,-0.0015210018027573824,-0.31973347258754076,220,0.009148622119573702,0.0003,0.056559244791666664,0.0155925555,0.2,0.3123088479042053,-0.0038743407124760174
234,5034,1179648,24,24.44,0.9028571844100952,0.0008936687372624874,-0.29490890689194205,230,0.009160531568098425,0.0003,0.04865315755208333,0.006043911,0.2,0.30084818601608276,-0.002428964906782009
244,5033,1228800,25,23.99,0.8858214616775513,0.005288335029035807,-0.26408735156680146,240,0.008154402886490667,0.0003,0.0327392578125,0.0031728465,0.2,0.33816397190093994,-0.0016827063476739569
253,5032,1277952,26,23.52,0.8779642581939697,0.00014306162483990192,-0.24694690850252907,250,0.007041739936357772,0.0003,0.031927490234375,0.0045799986,0.2,0.35397303104400635,-0.00213611993443313
263,5030,1327104,27,21.52,0.8840356469154358,0.003528426866978407,-0.23164652137396236,260,0.009992697086757592,0.0003,0.029451497395833335,0.0051646153,0.2,0.2932513356208801,-0.002050967231358906
273,5028,1376256,28,22.16,0.8820001482963562,-0.0010253866203129292,-0.20798523246776313,270,0.008769731349821086,0.0003,0.02940673828125,0.010815035,0.2,0.34478360414505005,-0.0024715975026386636
283,5027,1425408,29,21.68,0.8931071758270264,0.004107787273824215,-0.18718852386033782,280,0.006837893366173376,0.0003,0.021854654947916666,0.0034872752,0.2,0.3745023012161255,-0.0012655857470842116
293,5026,1474560,30,21.37,0.8665714263916016,0.00340713351033628,-0.17497208109513546,290,0.00809591120002248,0.0003,0.026932779947916666,0.0032482352,0.2,0.31190013885498047,-0.0018771909990088413
303,5028,1523712,31,23.69,0.8857143521308899,0.0009678606875240803,-0.1686604377658417,300,0.006565488336127601,0.0003,0.027325439453125,0.0034033407,0.2,0.35310471057891846,-0.0016091083624814929
312,5031,1572864,32,21.45,0.8745357394218445,0.00015333108603954315,-0.1644352910690941,310,0.0069475526788664865,0.0003,0.024409993489583334,0.0034103885,0.2,0.3388633728027344,-0.0019526457433433583
322,5032,1622016,33,21.67,0.893928587436676,8.760974742472172e-05,-0.14497610153630375,320,0.0062936755041543314,0.0003,0.022552490234375,0.003308846,0.2,0.35738885402679443,-0.001644506843695126
331,5034,1671168,34,22.22,0.8827500343322754,0.008203243836760521,-0.13861059550739205,330,0.007144820739449642,0.0003,0.01654052734375,0.0019944329,0.2,0.34099245071411133,-0.0010215012644645563
341,5036,1720320,35,21.63,0.8935000896453857,0.005869928747415543,-0.13241696939027559,340,0.006872664120419358,0.0003,0.016920979817708334,0.0020390297,0.2,0.3560124635696411,-0.0010693554311728803
351,5038,1769472,36,20.01,0.8413571715354919,0.0009441431611776352,-0.14910200788484265,350,0.00698234951748115,0.0003,0.025026448567708335,0.010027545,0.2,0.3464255928993225,-0.0016960767313624577
360,5042,1818624,37,20.99,0.8669642806053162,0.011612869799137115,-0.17699693789084753,360,0.01218683621737,0.0003,0.03130289713541667,0.0073895343,0.2,0.2612695097923279,-0.0030583105923142283
370,5045,1867776,38,20.14,0.831214189529419,0.0021603573113679886,-0.15844690010805304,370,0.011145933483688471,0.0003,0.028090413411458334,0.009972361,0.2,0.2889508605003357,-0.0023162481458712135
379,5045,1916928,39,20.46,0.8591071963310242,0.0034303925931453705,-0.15421936456502106,380,0.009974768324233689,0.0003,0.018094889322916665,0.002926779,0.2,0.29238754510879517,-0.0013890366417551073
389,5045,1966080,40,21.01,0.8761428594589233,0.00205639423802495,-0.15089783483805755,390,0.00792484478570259,0.0003,0.019376627604166665,0.0030598703,0.2,0.3232079744338989,-0.0015114359273259955
401,5018,2015232,41,20.47,0.8877856731414795,-2.9946444556117058e-05,-0.1454016920023908,400,0.009714086613227361,0.0003,0.023520914713541667,0.0025537095,0.2,0.29725974798202515,-0.001716753829744751
411,5021,2064384,42,20.73,0.8782498836517334,0.007411389611661434,-0.13992010556006182,410,0.00802576012508022,0.0003,0.022220865885416666,0.0018671611,0.2,0.3262743353843689,-0.0018402253737804131
420,5023,2113536,43,22.01,0.8729285597801208,0.004638914950191975,-0.14822239355028918,420,0.009723141270539297,0.0003,0.0250732421875,0.0060679666,0.2,0.2938849925994873,-0.00205960630522289
430,5025,2162688,44,20.59,0.8774999976158142,0.00452233012765646,-0.15718197351088747,430,0.009115424142207,0.0003,0.026352945963541666,0.002876382,0.2,0.30692458152770996,-0.0018272396032746959
