time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,shield_cutoff_timestep
843,252.0,2048,2,0.0,1,,,,,,,,,,,
593,244.3125,4096,6,0.0,2,-0.02936900220811367,-1.9357392508536577,0.015210412,-0.006698908327234676,0.0003,0.2,5.31787546663054e-05,0.119384765625,-4.530426979064941,10,
544,245.70833333333334,6144,11,0.0,3,0.008200064301490784,-1.9373610116541387,0.009150987,-0.0037647350589395502,0.0003,0.2,2.656739106328132e-05,0.029296875,-1.0614688396453857,20,
523,247.42424242424244,8192,15,0.0,4,0.012379510328173637,-1.9136043783277272,0.012532044,-0.005334824920282699,0.0003,0.2,2.424867626160676e-05,0.0845703125,-2.3444838523864746,30,
512,243.04761904761904,10240,19,0.0,5,-0.0013032385613769293,-1.9284844797104597,0.012858832,-0.011149184539681301,0.0003,0.2,2.1072633383312223e-05,0.13037109375,-2.5292294025421143,40,
503,239.72549019607843,12288,24,0.0,6,-0.04625830426812172,-1.9221747614443303,0.009697974,-0.006413180686649866,0.0003,0.2,2.5787608606719914e-05,0.06982421875,-3.4300341606140137,50,
498,241.16949152542372,14336,28,0.0024818474576271186,7,-0.025456516072154045,-1.9165368419140578,0.01085986,-0.010065828541701193,0.0003,0.2,3.687094787494516e-05,0.07255859375,-3.7446818351745605,60,
494,242.46268656716418,16384,33,0.002185507462686567,8,-0.006359565071761608,-1.9188300799578428,0.0073120235,-0.005430819187313318,0.0003,0.2,0.0001449137937015621,0.04189453125,-0.14263570308685303,70,
491,241.19736842105263,18432,37,0.0019266973684210528,9,-0.02345868945121765,-1.9077724486589431,0.010697459,-0.011677622047136538,0.0003,0.2,2.1878260164953643e-05,0.10771484375,-8.1860990524292,80,
489,242.22619047619048,20480,41,0.001743202380952381,10,-0.025633029639720917,-1.9058326922357083,0.0074738935,-0.00961276405796525,0.0003,0.2,2.5631824692595727e-05,0.0642578125,-2.964779853820801,90,
487,240.48387096774192,22528,46,0.001574505376344086,11,-0.03459944203495979,-1.9026494428515435,0.014481347,-0.0123708613900817,0.0003,0.2,3.3650155339159936e-05,0.110791015625,-7.085732460021973,100,
486,241.29,24576,50,0.00146429,12,-0.038913171738386154,-1.9060380205512046,0.012308918,-0.017695098309923198,0.0003,0.2,2.6952585793083016e-05,0.125732421875,-2.8668434619903564,110,
484,239.7,26624,54,0.00746429,13,-0.033386584371328354,-1.8974835444241762,0.007879195,-0.007077112939441577,0.0003,0.2,3.1661632954183004e-05,0.042919921875,-2.789776563644409,120,
483,238.39,28672,59,0.00746429,14,-0.022548971697688103,-1.906203430891037,0.011055492,-0.006635254941647873,0.0003,0.2,0.001353404611438691,0.0958984375,0.0024874210357666016,130,
482,237.5,30720,63,0.013642860000000001,15,-0.04053187742829323,-1.903338235244155,0.010659497,-0.012975674890185473,0.0003,0.2,9.866759712053862e-05,0.096435546875,-3.136165142059326,140,
481,237.8,32768,68,0.02360715,16,-0.015485926531255245,-1.883452532067895,0.0142033445,-0.012269154173554852,0.0003,0.2,0.0006887317099199209,0.134423828125,0.12341982126235962,150,
480,233.24,34816,72,0.03703572,17,-0.05026112496852875,-1.8761340241879225,0.012205933,-0.01484472451993497,0.0003,0.2,0.0015624077180746098,0.14501953125,0.1387762427330017,160,
479,231.63,36864,76,0.05571429,18,-0.009495441801846027,-1.872240722551942,0.011466218,-0.01083899673394626,0.0003,0.2,0.0013547931393077307,0.11103515625,0.35372185707092285,170,
478,224.48,38912,81,0.08457144,19,-0.028575921431183815,-1.8389431562274694,0.011710624,-0.01562541624007281,0.0003,0.2,0.003443390286520298,0.156396484375,0.17091304063796997,180,
478,215.89,40960,85,0.13075,20,-0.021280379965901375,-1.795871876552701,0.012123826,-0.011714592891803478,0.0003,0.2,0.004807687223728862,0.15703125,0.2624269723892212,190,
477,192.98,43008,90,0.23167859,21,-0.008493257686495781,-1.7875300016254188,0.0147170015,-0.013477953580149915,0.0003,0.2,0.0066621970108826645,0.1568359375,0.29045748710632324,200,42794
477,162.73,45056,94,0.30714289,22,-0.02754386141896248,-1.7245101042091846,0.014344695,-0.01905595755088143,0.0003,0.2,0.012256647064350545,0.209716796875,0.3387525677680969,210,
478,111.74,47104,98,0.4412857300000001,23,-0.0391397699713707,-1.6963263358920813,0.01435863,-0.016739611406228504,0.0003,0.2,0.012990234338212758,0.1990234375,0.25329065322875977,220,
478,78.61,49152,102,0.5308928500000001,24,-0.020689956843852997,-1.6378337077796459,0.01433973,-0.02180558504187502,0.0003,0.2,0.019729495045612565,0.216357421875,0.34983712434768677,230,
478,66.42,51200,106,0.6081428200000001,25,-0.012500004842877388,-1.5724207285791636,0.014533635,-0.02236554405244533,0.0003,0.2,0.01679583306540735,0.194189453125,0.45782506465911865,240,
479,62.28,53248,111,0.6843214200000002,26,0.03215445950627327,-1.5185934610664844,0.0137900375,-0.017430446718935854,0.0003,0.2,0.01533956969215069,0.19111328125,0.4572564959526062,250,
479,60.64,55296,115,0.7136785899999998,27,0.005188906565308571,-1.4859320122748614,0.016123101,-0.017683838326775003,0.0003,0.2,0.010299350639979821,0.198193359375,0.5011957883834839,260,
479,56.72,57344,119,0.7359643100000001,28,-0.025937313213944435,-1.3951018802821635,0.01593089,-0.01325165490998188,0.0003,0.2,0.011656214624235873,0.183251953125,0.4012860059738159,270,
