rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,shield_cutoff_timestep
0.04067857190966606,234.05,1,7091,49152,6,,,,,,,,,,,
0.12214285880327225,223.37,2,5651,98304,17,-0.002860036260729733,-0.07618200778961182,-0.011262217536568642,0.2,0.0007917821898142089,10,-1.9378564598038792,0.0003,0.01050776,0.09020182291666666,
0.27096426486968994,193.81,3,5241,147456,28,-0.006918161639259779,0.3422277569770813,0.004615004174411297,0.2,0.0015824784941287362,20,-1.9192495603114366,0.0003,0.009631034,0.11760660807291666,
0.4084642827510834,161.37,4,5052,196608,38,-0.009875178381723042,0.43617063760757446,0.00430615060031414,0.2,0.0036262008539779344,30,-1.900039198808372,0.0003,0.011021777,0.12001139322916667,
0.5922857522964478,103.55,5,4940,245760,49,-0.011731211895312298,0.5082220435142517,0.0007402077317237854,0.2,0.005862146162326098,40,-1.8566622730344533,0.0003,0.012042466,0.14118245442708333,
0.21285715699195862,86.75,6,4773,294912,61,-0.014983352024076642,0.5783906579017639,-0.013975489884614944,0.2,0.009070588186781,50,-1.7921865278234084,0.0003,0.012667329,0.175128173828125,250008
0.3977857232093811,74.97,7,4808,344064,71,-0.014716866456243831,0.3458729386329651,-0.0044466168619692326,0.2,0.009600858879518151,60,-1.742686525483926,0.0003,0.014074418,0.18016153971354168,
0.5695000290870667,64.4,8,4833,393216,81,-0.01958153662587089,0.5082371234893799,-0.005083067342638969,0.2,0.013122817698846727,70,-1.6493489164859056,0.0003,0.01498766,0.21324055989583332,
0.7013928294181824,50.0,9,4859,442368,91,-0.021291166979911697,0.5657305717468262,-0.03213103115558624,0.2,0.015704063911592434,80,-1.498667901630203,0.0003,0.01542791,0.24073282877604166,
0.7584642767906189,44.82,10,4880,491520,100,-0.021295494066483418,0.5805399417877197,-0.00558252539485693,0.2,0.016003653306688646,90,-1.3276529229556522,0.0003,0.016757974,0.24804280598958334,
0.8197143077850342,36.77,11,4798,540672,112,-0.01796805946596578,0.6065995693206787,-0.019904615357518196,0.2,0.011956315220353038,100,-1.129368113229672,0.0003,0.01597096,0.22129923502604168,
