time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss,shield_cutoff_timestep
6041,0.03386111184954643,49152,115.08,1,8,,,,,,,,,,,
5090,0.0377500019967556,98304,108.27,2,19,0.0003,0.2,-0.050189971923828125,-1.9398092688371738,0.005237606819719076,0.009183754,10,0.03701578776041667,0.0009335752110416706,-0.0018533990320671971,
4827,0.028305554762482643,147456,90.83,3,30,0.0003,0.2,0.2466537356376648,-1.9366275632133088,-0.0007653976208530366,0.007645359,20,0.03521728515625,0.0009890034233270247,-0.002530110816072314,
4695,0.08655555546283722,196608,110.68,4,41,0.0003,0.2,0.3077017664909363,-1.9284353955338398,-0.01646956242620945,0.01005289,30,0.057790120442708336,0.001773428389522754,-0.0027779184752944274,
4597,0.12849999964237213,245760,99.3,5,53,0.0003,0.2,0.3919054865837097,-1.9067137274891137,0.010767923668026924,0.010153648,40,0.08352254231770834,0.002758781203738181,-0.004660398181416289,
4532,0.14216667413711548,294912,92.89,6,65,0.0003,0.2,0.5148438215255737,-1.8798151129235825,0.008366254158318043,0.011970952,50,0.12804158528645834,0.0034955621830401167,-0.007071954766615818,
4479,0.3028610944747925,344064,80.03,7,76,0.0003,0.2,0.5791085362434387,-1.8181436588987707,-0.008491319604218006,0.011106371,60,0.124493408203125,0.005356883203542869,-0.007778439254980185,
4440,0.35238882899284363,393216,84.63,8,88,0.0003,0.2,0.5741746425628662,-1.7614402553687494,0.0015081781893968582,0.011560424,70,0.12659708658854166,0.008616468034112283,-0.009199527818297307,
4405,0.43805554509162903,442368,91.62,9,100,0.0003,0.2,0.6337159276008606,-1.6919783792148033,0.010072967037558556,0.011661674,80,0.13022257486979166,0.009796719282894628,-0.009429642920592111,
4378,0.4831388592720032,491520,73.52,10,112,0.0003,0.2,0.6503252983093262,-1.6200133133058747,0.0022536269389092922,0.0126131745,90,0.14553629557291667,0.01107257595770837,-0.010634642914010329,
4267,0.5198054909706116,540672,60.84,11,126,0.0003,0.2,0.6637891530990601,-1.5075996421898405,-0.0007411283440887928,0.0127737075,100,0.16208902994791666,0.012245874944104193,-0.010934249062908444,
4253,0.5106944441795349,589824,56.52,12,138,0.0003,0.2,0.6568620204925537,-1.4053724167247614,-0.01087171770632267,0.011873864,110,0.144573974609375,0.013098887821251992,-0.00966420374734298,
4233,0.6397222280502319,638976,54.6,13,150,0.0003,0.2,0.632774829864502,-1.2902949377894402,-0.010412955656647682,0.010389908,120,0.12484334309895834,0.013665299305769926,-0.008325920284429836,
4213,0.6605278253555298,688128,55.17,14,163,0.0003,0.2,0.6346602439880371,-1.1818468395620585,-0.0028895335271954536,0.00921084,130,0.10648193359375,0.013780412387859542,-0.006600608302142064,
4195,0.6357777714729309,737280,49.4,15,175,0.0003,0.2,0.6147058606147766,-1.1104726299022636,-0.003065626136958599,0.009314365,140,0.10903523763020834,0.013558502828527708,-0.006700542313713716,
4177,0.682638943195343,786432,49.42,16,188,0.0003,0.2,0.5828609466552734,-1.0109823187502722,0.0002594459801912308,0.0076252255,150,0.09612833658854167,0.014111248305804716,-0.005737717009530267,
4162,0.6615278124809265,835584,44.37,17,200,0.0003,0.2,0.5904923677444458,-0.9267385128885508,-0.00557557400316,0.006301474,160,0.07851969401041667,0.012870230293871524,-0.004153166972173494,
4147,0.6925556063652039,884736,45.82,18,213,0.0003,0.2,0.5720944404602051,-0.8654046402002374,0.013216624036431313,0.0056838817,170,0.074383544921875,0.013459015922853724,-0.004143755042605335,
4133,0.7418888807296753,933888,45.87,19,225,0.0003,0.2,0.5645398497581482,-0.8109630267756681,-0.004189968109130859,0.0056720995,180,0.06889241536458333,0.01335013732217097,-0.0032301269771778606,
4074,0.7761389017105103,983040,46.27,20,241,0.0003,0.2,0.5710930824279785,-0.7484283037483692,0.004190800245851278,0.004582942,190,0.060198974609375,0.01219958899479631,-0.0030321461134008134,
4026,0.7208055853843689,1032192,41.81,21,256,0.0003,0.2,0.5572007298469543,-0.7050121517851948,-0.0038342131301760674,0.004807023,200,0.0610107421875,0.01297369679014082,-0.003180735172069641,
4025,0.7229999303817749,1081344,42.12,22,268,0.0003,0.2,0.5393731594085693,-0.6389594454318285,0.011231083422899246,0.0040245582,210,0.05666300455729167,0.013243320129307297,-0.00266091608057953,
4025,0.687999963760376,1130496,39.57,23,280,0.0003,0.2,0.5353546738624573,-0.5950347270816565,0.007172086276113987,0.004443211,220,0.050400797526041666,0.012865836667090964,-0.0025222157602911464,
4023,0.6944166421890259,1179648,41.28,24,293,0.0003,0.2,0.5199102163314819,-0.5548698992468417,-0.0041581327095627785,0.0033365928,230,0.04244384765625,0.013637038377540496,-0.0016368915174704549,
4023,0.7059165835380554,1228800,40.01,25,305,0.0003,0.2,0.5187709331512451,-0.5190967314410955,0.0012725014239549637,0.0039739492,240,0.04496053059895833,0.012996104199798235,-0.0020729773453543507,
4023,0.7339444160461426,1277952,45.24,26,317,0.0003,0.2,0.5291429758071899,-0.500441495499884,0.0020616967231035233,0.0037388615,250,0.045393880208333334,0.011963858694798546,-0.002063834637798815,
4021,0.7212499976158142,1327104,38.58,27,329,0.0003,0.2,0.5108449459075928,-0.47793118994062145,0.009309596382081509,0.0036255296,260,0.045119222005208334,0.013206253026874037,-0.0020271656014301696,
4020,0.7270000576972961,1376256,40.0,28,342,0.0003,0.2,0.5189383029937744,-0.42388287324768803,0.005552311427891254,0.0032578588,270,0.037384033203125,0.0126866949921047,-0.0020367059757215125,
4019,0.758805513381958,1425408,41.7,29,354,0.0003,0.2,0.5062605142593384,-0.39651473592966796,-0.0025323168374598026,0.0036775444,280,0.03778076171875,0.01226896329584027,-0.0022044622372050073,
4016,0.7716111540794373,1474560,40.81,30,367,0.0003,0.2,0.5125433206558228,-0.3710449586622417,0.005093353800475597,0.0031666372,290,0.030792236328125,0.012459301491374693,-0.0009898015579892672,
4014,0.6983054876327515,1523712,36.34,31,379,0.0003,0.2,0.5215232968330383,-0.3709510519790153,0.0062543852254748344,0.0041889697,300,0.035685221354166664,0.012965195960714482,-0.0021090635127014442,
4013,0.7507222890853882,1572864,37.38,32,391,0.0003,0.2,0.5117604732513428,-0.36457920086880524,0.008497575297951698,0.0034884408,310,0.03268839518229167,0.013844262924491584,-0.0016686922867544733,
