rollout/ep_rew_mean,shield/actions_blocked,shield/actions_block_ignored,shield/constant_delta,shield/actions_allowed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/learning_rate,shield/ignore_prob,shield/transition_timestep,shield/stage
0.5958593487739563,8838,0,0.9,12277,49152,1,70.34,5,8545,,,,,,,,,,,,,
0.5984883308410645,19332,0,,26669,98304,2,53.93,17,5636,10,0.2,-0.006289839744567871,0.008235839195549488,-1.9322697218507527,-0.009876584347269575,0.014275603,0.011603008039916556,0.117767333984375,0.0003,,,
0.6952812075614929,32549,0,,42101,147456,3,40.33,29,4993,20,0.2,0.6840780377388,-0.02083940990269184,-1.8915411626920104,-0.019487955670653416,0.016379384,0.013181169611925725,0.20489095052083334,0.0003,0.25,100008,0
0.7527538537979126,48013,0,,58092,196608,4,33.97,41,4717,30,0.2,0.6891611814498901,-0.008714457973837852,-1.8273075899730127,-0.02071685267534728,0.013940067,0.015679808647352425,0.20018107096354168,0.0003,,,
0.7226172089576721,65232,0,,75138,245760,5,28.7,54,4548,40,0.2,0.6281445026397705,-0.011962387710809708,-1.7544251829385757,-0.016877960374525477,0.01457782,0.013688010251886833,0.19464111328125,0.0003,0.5,200016,1
0.7079100608825684,84154,0,,92698,294912,6,24.94,66,4440,50,0.2,0.533623456954956,-0.018150728195905685,-1.6652765199542046,-0.013115965411877066,0.013277099,0.013004286270006559,0.18122762044270832,0.0003,,,
0.6952226758003235,105146,0,,110766,344064,7,22.95,78,4365,60,0.2,0.45384281873703003,-0.02474662847816944,-1.5779968407005072,-0.008304297848917485,0.010681045,0.013433470490175145,0.15037638346354168,0.0003,0.75,300000,2
0.7099336385726929,127363,0,,129270,393216,8,21.2,91,4304,70,0.2,0.42893528938293457,-0.0060311779379844666,-1.479577886002759,-0.007238116585237246,0.010544042,0.013973004452903599,0.15183308919270833,0.0003,,,
0.710144579410553,150958,0,,147774,442368,9,21.5,103,4256,80,0.2,0.39787667989730835,-0.0005297074094414711,-1.4020235020046432,-0.005962446147183679,0.010553422,0.014290424645393311,0.129833984375,0.0003,1,400008,3
0.7703906297683716,175525,0,,166173,491520,10,21.04,116,4231,90,0.2,0.3705090880393982,0.0035305265337228775,-1.33214845713228,-0.004130686277737065,0.00921921,0.015195876438519917,0.11076863606770833,0.0003,,,
0.7600038647651672,200167,0,,185304,540672,11,20.78,129,4188,100,0.2,0.34128278493881226,-0.0025090877898037434,-1.2818667629733682,-0.0028607129609857416,0.008003888,0.016032230316583688,0.08897908528645833,0.0003,,,
