rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/entropy_loss
200.0,5,2048,0.0,1,377,,,,,,,,,,
200.0,34,4096,0.0,2,119,-0.00023508379963459446,0.0003,0.002001953125,0.0010169686,0.15243667364120483,10,0.2,-0.0017079131212085485,9.602033897992968e-06,-1.9456171467900276
200.0,61,6144,0.0,3,99,-0.005227538599865511,0.0003,0.074609375,0.011660263,-0.01663649082183838,20,0.2,0.024678394198417664,1.9301020843243144e-05,-1.9410376284271478
200.0,90,8192,0.0,4,90,-0.00533638382476056,0.0003,0.08701171875,0.013688562,-0.02505970001220703,30,0.2,0.02774207666516304,6.0711459291651336e-06,-1.9256141033023595
200.0,121,10240,0.0,5,84,-0.003698958642780781,0.0003,0.06025390625,0.010597185,-0.061133623123168945,40,0.2,0.015182849019765854,2.533369065305102e-06,-1.914958556741476
200.0,147,12288,0.0,6,83,-0.01208746328484267,0.0003,0.16728515625,0.014718426,-0.000616908073425293,50,0.2,-0.04606857895851135,2.135651256651716e-06,-1.8981204140931367
200.0,176,14336,0.0,7,81,-0.00521943383209873,0.0003,0.08193359375,0.0111029595,-0.01858985424041748,60,0.2,0.007919657044112682,1.2056451970110516e-06,-1.899831510335207
200.0,206,16384,0.0,8,79,-0.0022115088373539037,0.0003,0.039013671875,0.010544651,-0.020267724990844727,70,0.2,0.0006883927853778005,9.028946979239283e-07,-1.8946587711572647
200.0,231,18432,0.0,9,79,-0.006907809010590427,0.0003,0.09853515625,0.014309475,-0.018384575843811035,80,0.2,0.007191555108875036,4.527487306504874e-07,-1.9157596208155154
200.0,259,20480,0.0,10,78,-0.0011419524103985167,0.0003,0.0302734375,0.0074304137,0.0074686408042907715,90,0.2,-0.021209800615906715,1.1628440996169776e-06,-1.9005131967365743
200.0,289,22528,0.0,11,77,-0.004602661993703805,0.0003,0.068896484375,0.0070371036,-0.011028289794921875,100,0.2,-0.013926004059612751,1.439714336665121e-06,-1.8928403958678246
200.0,316,24576,0.0,12,77,-0.010196329085010803,0.0003,0.15908203125,0.013362743,0.008944213390350342,110,0.2,-0.0070982687175273895,1.491774202206364e-05,-1.8593883946537972
200.0,344,26624,0.0,13,77,-0.0036947109503671525,0.0003,0.06005859375,0.013526175,-0.06214630603790283,120,0.2,-0.028227392584085464,8.152840371661307e-06,-1.818157372623682
200.0,374,28672,0.0,14,76,-0.0034810247641871685,0.0003,0.05068359375,0.007938223,-0.010403752326965332,130,0.2,-0.017025599256157875,4.6930432800740273e-07,-1.8185669407248497
200.0,401,30720,0.0,15,76,-0.005345906708680559,0.0003,0.080126953125,0.016949225,-0.04089856147766113,140,0.2,-0.0008066087611950934,2.1168670901433593e-06,-1.8261848900467157
200.0,426,32768,0.0,16,76,-0.0051523507747333495,0.0003,0.083203125,0.010615719,-0.052805304527282715,150,0.2,-0.01524391770362854,8.579181943746406e-07,-1.8240830671042203
200.0,455,34816,0.0,17,76,-0.002231673391361255,0.0003,0.049755859375,0.0072758105,-0.040415406227111816,160,0.2,-0.0014563429867848754,1.564611847123809e-05,-1.7813564967364073
200.0,487,36864,0.0,18,75,-0.012999498716089875,0.0003,0.172119140625,0.012114665,-0.08641791343688965,170,0.2,-0.030115677043795586,2.366398607830944e-07,-1.8246075350791215
200.0,516,38912,0.0,19,75,-0.005770677972759586,0.0003,0.08857421875,0.015470164,-0.04246795177459717,180,0.2,-0.026410643011331558,6.727284600580724e-07,-1.805339204892516
200.0,545,40960,0.0,20,75,-0.004280009695503395,0.0003,0.063232421875,0.0138473855,-0.021455764770507812,190,0.2,0.0014169649221003056,2.8785122963365107e-06,-1.7963024586439134
200.0,573,43008,0.0,21,75,-0.006371915305498988,0.0003,0.083203125,0.015824107,-0.049283623695373535,200,0.2,0.0045323558151721954,1.0458170826145585e-05,-1.7808326151221991
200.0,603,45056,0.0,22,74,-0.00223332692112308,0.0003,0.03583984375,0.014333445,-0.00011563301086425781,210,0.2,-0.01992427557706833,3.2978204924649646e-06,-1.752684722095728
200.0,631,47104,0.0,23,74,-0.004615672545332928,0.0003,0.081005859375,0.0104197245,-0.01697242259979248,220,0.2,-0.026857642456889153,5.062822751866758e-06,-1.7134514726698398
200.0,656,49152,0.0,24,74,-0.0019325672976265196,0.0003,0.033935546875,0.010483002,0.005292117595672607,230,0.2,-0.014481998980045319,3.3054884518726735e-05,-1.706301436945796
200.0,686,51200,0.0,25,74,-0.006204772772616707,0.0003,0.09609375,0.00967536,-0.009349942207336426,240,0.2,-0.004650738090276718,4.853095903334381e-06,-1.6525399707257749
200.0,716,53248,0.0,26,74,-0.0015579448649077677,0.0003,0.037451171875,0.010166708,-0.05108964443206787,250,0.2,0.00011880706733791158,1.2339630954122384e-07,-1.636992010846734
200.0,741,55296,0.0,27,74,-0.0042244342039339244,0.0003,0.086767578125,0.013840416,-0.03158223628997803,260,0.2,0.01911560632288456,1.3634327415724956e-06,-1.5262995962053538
200.0,769,57344,0.0,28,74,-0.0031103849440114574,0.0003,0.073828125,0.015538178,-0.03659331798553467,270,0.2,-0.011028886772692204,5.043966777315001e-05,-1.3804028272628783
200.0,799,59392,0.0,29,74,-0.002910052800143603,0.0003,0.068359375,0.010208743,-0.017724990844726562,280,0.2,-0.008763659745454788,1.0783233154454397e-07,-1.2533015482127667
