time/fps,time/total_timesteps,time/iterations,shield/stage,rollout/ep_rew_mean,shield/transition_timestep,time/time_elapsed,shield/delta,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss
6062,49152,1,2,0.03683333471417427,16032,8,0.5,110.72,,,,,,,,,,
5033,98304,2,,0.04183333367109299,,19,,109.7,0.003541326933009259,0.011765671,-0.00011205824557691813,0.05005086263020833,10,0.2,-0.006403326988220215,-0.002460988335466633,0.0003,-1.9357912531743446
4720,147456,3,,0.056999996304512024,,31,,91.65,0.0014042603914276696,0.008654672,-0.020979972556233406,0.054947916666666666,20,0.2,0.367903470993042,-0.0034412781920157916,0.0003,-1.9114784336959323
4552,196608,4,,0.08180555701255798,,43,,76.85,0.002507788935751402,0.007956379,-0.016148198395967484,0.08058675130208333,30,0.2,0.45423126220703125,-0.005017341673737974,0.0003,-1.8835451696068048
4453,245760,5,,0.1483333259820938,,55,,84.74,0.003224110839376711,0.009235325,-0.01605878584086895,0.09976399739583333,40,0.2,0.5371140837669373,-0.006165245578934749,0.0003,-1.8469680296257138
4386,294912,6,,0.1288333386182785,,67,,64.96,0.004362028056857525,0.01048739,-0.0004476888570934534,0.12072550455729167,50,0.2,0.6090800762176514,-0.007827857427218986,0.0003,-1.812476520674924
4334,344064,7,,0.20288889110088348,,79,,62.03,0.006781540621886961,0.011006611,-0.01426328532397747,0.136419677734375,60,0.2,0.6221553087234497,-0.008453517314046621,0.0003,-1.758988032862544
4295,393216,8,,0.40805554389953613,,91,,64.01,0.008945832223495624,0.012038997,-0.005019060801714659,0.14694417317708333,70,0.2,0.655138373374939,-0.009751512369863729,0.0003,-1.6724872465555867
4263,442368,9,,0.4563610851764679,,103,,63.94,0.01145396480836401,0.013416748,-0.021526556462049484,0.17512410481770832,80,0.2,0.675060510635376,-0.01226778955303113,0.0003,-1.5688509659841656
4233,491520,10,,0.5142499804496765,,116,,58.49,0.013473455825199683,0.012276965,-0.012508775107562542,0.15118815104166666,90,0.2,0.6878046989440918,-0.009743579771990578,0.0003,-1.4550416472057501
4120,540672,11,3,0.42169445753097534,532656,131,0.3,51.53,0.015045066593544713,0.011231118,0.0037932926788926125,0.138525390625,100,0.2,0.66690993309021,-0.008648620178185714,0.0003,-1.344745780962209
