rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,shield_cutoff_timestep
0.2641388773918152,173.08,1,5937,49152,8,,,,,,,,,,,
0.2516111135482788,161.68,2,5032,98304,19,-0.0036027357712252223,0.011599481105804443,-0.001690566772595048,0.2,0.004130473351748757,10,-1.9351237007106343,0.0003,0.0119416,0.049119059244791666,
0.37283334136009216,144.27,3,4777,147456,30,-0.005469700063440541,0.4351786971092224,0.002669799141585827,0.2,0.0043334605151054955,20,-1.918381186077992,0.0003,0.010271679,0.07266438802083333,
0.4703333377838135,122.98,4,4616,196608,42,-0.005137954238004265,0.5686534643173218,-0.003771110437810421,0.2,0.005885532275715377,30,-1.8952928068116308,0.0003,0.008895685,0.08575846354166666,
0.5004722476005554,101.97,5,4516,245760,54,-0.009395711365808286,0.6240711212158203,0.01072310283780098,0.2,0.008003852426918456,40,-1.8532732350130876,0.0003,0.010752267,0.123193359375,
0.05886111408472061,67.68,6,4354,294912,67,-0.009579901094730304,0.6507726907730103,-0.021984849125146866,0.2,0.009844016974238912,50,-1.79210888830324,0.0003,0.010891397,0.13543701171875,250008
0.1476944386959076,59.72,7,4404,344064,78,-0.010891517571447669,0.4618065357208252,0.000647212378680706,0.2,0.0069924774504518915,60,-1.7516839242850741,0.0003,0.013241187,0.151422119140625,
0.21852774918079376,76.72,8,4458,393216,88,-0.010063399448760417,0.5507234334945679,-0.004146302118897438,0.2,0.007633160996435132,70,-1.6888657292351126,0.0003,0.010964646,0.13217569986979166,
0.3398333787918091,63.58,9,4506,442368,98,-0.01129504923640828,0.554288387298584,-0.0061940997838974,0.2,0.009315728272971077,80,-1.6186771467948953,0.0003,0.011774488,0.14973958333333334,
0.4358055889606476,67.57,10,4544,491520,108,-0.011420184144420394,0.543205976486206,0.0012876931577920914,0.2,0.012309235015224355,90,-1.5264153094962238,0.0003,0.012223929,0.14601847330729167,
0.4897778332233429,53.46,11,4471,540672,120,-0.011285762176764061,0.5602918863296509,-0.027509286999702454,0.2,0.014536688651908965,100,-1.4050221358115473,0.0003,0.0121654,0.14384765625,
