time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,shield/stage,shield/delta,shield/transition_timestep
49152,158.8,7,6182,1,0.3320000171661377,,,,,,,,,,,,,
98304,138.32,19,5054,2,0.5006111264228821,-0.006460905075073242,0.0003,0.0008737267926335335,0.2,0.013538764,0.005437123432845207,0.05637003580729167,-1.9339854686210554,10,-0.0035805131762875436,,,
147456,123.88,31,4735,3,0.5354722142219543,0.5488941669464111,0.0003,0.016790572553873062,0.2,0.014083487,0.007691303826868534,0.081427001953125,-1.8937003806854287,20,-0.006179438317061189,,,
196608,105.24,42,4578,4,0.5690000653266907,0.5976443886756897,0.0003,-0.003924527671188116,0.2,0.0131565705,0.00999105481702524,0.1090576171875,-1.847574874199927,30,-0.008072349871023713,,,
245760,81.68,54,4488,5,0.6152222156524658,0.6270790100097656,0.0003,-0.014803502708673477,0.2,0.012896734,0.011774026868321623,0.1198974609375,-1.7774411761512359,40,-0.009501489602735091,,,
294912,67.68,66,4413,6,0.649305522441864,0.6447471976280212,0.0003,-0.006928387098014355,0.2,0.011638172,0.013675045378234548,0.11612955729166667,-1.7075167995567122,50,-0.009561551343116056,,,
344064,57.39,78,4362,7,0.6773611307144165,0.6543073654174805,0.0003,0.0013140412047505379,0.2,0.010547832,0.013012524751926928,0.11294759114583333,-1.6164650863657395,60,-0.007859175918323065,,,
393216,57.36,90,4325,8,0.6678611040115356,0.6527361869812012,0.0003,0.006358492188155651,0.2,0.0105052665,0.012633905991485032,0.10208333333333333,-1.5284666523337365,70,-0.007442051735173057,,,
442368,55.03,103,4286,9,0.6849166750907898,0.6263580322265625,0.0003,0.005787780974060297,0.2,0.010945606,0.012122649831871968,0.10882568359375,-1.4380822606384753,80,-0.007286996162110882,,,
491520,51.87,115,4247,10,0.7329999804496765,0.6299463510513306,0.0003,-0.006885273847728968,0.2,0.009219092,0.012031544820638373,0.09598795572916667,-1.3571271331359942,90,-0.005720269702093598,,,
540672,47.03,131,4126,11,0.7078611254692078,0.6112754344940186,0.0003,0.005460587330162525,0.2,0.008144953,0.011793241414367609,0.08030802408854167,-1.286587947110335,100,-0.004058385367291824,,,
589824,46.79,143,4104,12,0.7281944155693054,0.5793682336807251,0.0003,0.006489178631454706,0.2,0.007181209,0.011867828771452574,0.07505289713541667,-1.1878495049352447,110,-0.003830462438418181,,,
638976,49.01,156,4085,13,0.7525277733802795,0.5595414638519287,0.0003,0.004098918288946152,0.2,0.0070757368,0.011155324109374002,0.078631591796875,-1.1205025692159931,120,-0.0031605888915388885,,,
688128,46.58,169,4068,14,0.755638837814331,0.5501848459243774,0.0003,0.015018013305962086,0.2,0.0068157786,0.011184466227132362,0.0672607421875,-1.071045914851129,130,-0.002778018270873872,,,
737280,46.03,181,4053,15,0.7764165997505188,0.5538305044174194,0.0003,0.0019787196069955826,0.2,0.006186068,0.010956642291906368,0.06759236653645834,-1.030100858149429,140,-0.0027348230504382325,,,
786432,45.34,194,4039,16,0.7296944260597229,0.5493134260177612,0.0003,0.012311737984418869,0.2,0.005953262,0.01099745033304013,0.05806681315104167,-1.0001265990547836,150,-0.0020409453756049818,,,
835584,44.31,207,4034,17,0.7347221374511719,0.5484817624092102,0.0003,-0.0006524166092276573,0.2,0.005622422,0.010570614402240608,0.062082926432291664,-0.9735294290507833,160,-0.002194480048819969,,,
884736,45.73,219,4030,18,0.7568333148956299,0.5325150489807129,0.0003,0.006665163207799196,0.2,0.0051921387,0.011068701715218291,0.05621541341145833,-0.9440340228378773,170,-0.002035879671833148,,,
933888,40.34,232,4024,19,0.7235834002494812,0.5245968699455261,0.0003,0.008358821272850037,0.2,0.0062849037,0.011594027865309423,0.06535847981770833,-0.9014958028371135,180,-0.002386021684348331,,,
983040,41.0,247,3972,20,0.6968888640403748,0.513881266117096,0.0003,0.010676173493266106,0.2,0.004669851,0.011000978351027394,0.056768798828125,-0.8601995518431067,190,-0.00259774924973802,,,
1032192,55.34,262,3926,21,0.6664721965789795,0.5168929100036621,0.0003,-0.0050046113319695,0.2,0.0050669233,0.011462859072586677,0.05743204752604167,-0.8427757625468075,200,-0.0019267692108163221,0,0.8,1000008
1081344,48.8,275,3926,22,0.7213055491447449,0.528039813041687,0.0003,-0.010249625891447067,0.2,0.006143328,0.012129856459068833,0.06844482421875,-0.8356700904977818,210,-0.00298968521816884,,,
1130496,47.79,287,3928,23,0.6959999799728394,0.5705727338790894,0.0003,-0.006246156059205532,0.2,0.0055430755,0.011228092666715383,0.07372233072916666,-0.830034013496091,220,-0.003811450423503023,,,
1179648,50.36,300,3930,24,0.7368055582046509,0.5768474340438843,0.0003,0.00194912264123559,0.2,0.00649691,0.010892072300581883,0.08075358072916666,-0.7996901337057352,230,-0.004751331615504266,,,
1228800,47.62,312,3930,25,0.7332500219345093,0.5853332281112671,0.0003,0.00721189146861434,0.2,0.005929979,0.01081341251192498,0.07229817708333333,-0.7516132525789241,240,-0.004031463974570215,,,
1277952,45.33,325,3929,26,0.7136388421058655,0.5742201805114746,0.0003,-0.0014733849093317986,0.2,0.0065155737,0.011597559196525253,0.071246337890625,-0.7288902745892604,250,-0.003609073875183337,,,
1327104,48.59,337,3930,27,0.7581111788749695,0.5754036903381348,0.0003,0.01448686420917511,0.2,0.0052198097,0.011333526901095563,0.067877197265625,-0.6860548743357261,260,-0.0033071026671374665,,,
1376256,42.04,350,3930,28,0.7401111125946045,0.5561246871948242,0.0003,0.003930921666324139,0.2,0.0053093233,0.01147895695345748,0.06573282877604167,-0.6706149832966427,270,-0.003308416062585214,,,
1425408,42.73,362,3931,29,0.7076666355133057,0.5570813417434692,0.0003,-0.002674263436347246,0.2,0.004688054,0.011032842413502901,0.060683186848958334,-0.6585519010201096,280,-0.0031676895601170448,,,
1474560,39.83,375,3931,30,0.7346943616867065,0.5481656789779663,0.0003,0.004230449441820383,0.2,0.004742934,0.011537953722048163,0.056463623046875,-0.65434060919409,290,-0.0023814769764309556,,,
1523712,39.36,387,3931,31,0.7206944823265076,0.5534172058105469,0.0003,0.0035086232237517834,0.2,0.004575727,0.011221000155152676,0.05621541341145833,-0.6362873132961492,300,-0.0023687813612923493,,,
1572864,44.92,400,3931,32,0.7442500591278076,0.5296850204467773,0.0003,0.01215904951095581,0.2,0.0044792616,0.012195612512732623,0.052117919921875,-0.6172352883964777,310,-0.0017911384409065553,,,
1622016,39.71,412,3927,33,0.765250027179718,0.5376124382019043,0.0003,0.013335178606212139,0.2,0.004529715,0.011685401094291592,0.053572591145833334,-0.6021851331616441,320,-0.0019945203619196644,,,
1671168,41.87,425,3924,34,0.7115833163261414,0.5455933213233948,0.0003,0.00648094154894352,0.2,0.004160059,0.011111313422831396,0.052288818359375,-0.5698119305539876,330,-0.0023505118288085214,,,
1720320,42.26,438,3924,35,0.7096666693687439,0.5248969793319702,0.0003,-0.008679801598191261,0.2,0.0039045059,0.012440223256271565,0.04721476236979167,-0.5783250412903727,340,-0.002125575056076438,,,
1769472,43.1,450,3926,36,0.7547222375869751,0.5419980883598328,0.0003,0.010364215821027756,0.2,0.0039756,0.011305957961061116,0.045857747395833336,-0.572254172929873,350,-0.001752686639216942,,,
1818624,41.45,463,3927,37,0.7511388659477234,0.5425971150398254,0.0003,0.002630867063999176,0.2,0.003923116,0.011555370451484729,0.04574178059895833,-0.5551368244302769,360,-0.0016900443616880997,,,
1867776,39.71,475,3928,38,0.7260000109672546,0.5267499089241028,0.0003,0.010821735486388206,0.2,0.0039209463,0.011302138963219476,0.045404052734375,-0.5377629208688934,370,-0.0017765051825335831,,,
1916928,41.46,488,3926,39,0.7907499074935913,0.5331237316131592,0.0003,0.003820118959993124,0.2,0.0041724453,0.011699016848676061,0.044722493489583334,-0.5326606890031447,380,-0.0017903211189453335,,,
1966080,38.55,501,3924,40,0.7674167156219482,0.5228621959686279,0.0003,-0.003413589671254158,0.2,0.0038099128,0.011495535772943792,0.045241292317708334,-0.5199841779035826,390,-0.002070026033046209,,,
2015232,40.94,516,3901,41,0.535111129283905,0.5337085723876953,0.0003,-0.00033473013900220394,0.2,0.0031903225,0.0101116802667093,0.04049479166666667,-0.5050780791634073,400,-0.001689228347822791,1,0.6,2000016
2064384,48.86,529,3899,42,0.6724722385406494,0.5248135924339294,0.0003,0.00012676045298576355,0.2,0.0046392544,0.012163681102780781,0.04942626953125,-0.48588968375697733,410,-0.002410702000876578,,,
2113536,43.29,542,3897,43,0.6560000777244568,0.5572091341018677,0.0003,0.0003521125763654709,0.2,0.0070807016,0.0122344471058265,0.065185546875,-0.5101677566921959,420,-0.00440728077392123,,,
2162688,50.25,555,3894,44,0.6175277829170227,0.5688527226448059,0.0003,-0.0007629501633346081,0.2,0.004337056,0.011995026786219871,0.05367838541666667,-0.4793718538402269,430,-0.003436950384032874,,,
2211840,42.51,568,3892,45,0.6609722971916199,0.5542904138565063,0.0003,-0.0033178948797285557,0.2,0.004832876,0.012289746515549874,0.06186726888020833,-0.4775934201510002,440,-0.003862242620016332,,,
2260992,43.03,581,3890,46,0.6989443898200989,0.5639256238937378,0.0003,-0.004779255948960781,0.2,0.0047598775,0.01167801352397267,0.060837809244791666,-0.4602065663319081,450,-0.0033411475817653508,,,
2310144,45.3,594,3888,47,0.6921665668487549,0.5791471004486084,0.0003,-0.0019318019039928913,0.2,0.0041928203,0.01073768173228018,0.051171875,-0.4396942116941015,460,-0.003008320494336658,,,
2359296,41.11,607,3885,48,0.7125833034515381,0.5625996589660645,0.0003,-0.0018060212023556232,0.2,0.0049284096,0.011396495615917957,0.060231526692708336,-0.4356377128822108,470,-0.0037050235726686274,,,
2408448,44.71,620,3884,49,0.7553610801696777,0.5698133707046509,0.0003,0.0010038255713880062,0.2,0.0035805695,0.011394444732771566,0.04568074544270833,-0.418378801488628,480,-0.0021832214454965047,,,
2457600,45.89,632,3884,50,0.7400555610656738,0.5594239234924316,0.0003,0.004255443345755339,0.2,0.0043265424,0.012106041294706908,0.047011311848958334,-0.40419904245063665,490,-0.0027235524608840932,,,
2506752,43.65,645,3886,51,0.714388906955719,0.5484397411346436,0.0003,0.0028822445310652256,0.2,0.0035398947,0.011377014584528904,0.04638875325520833,-0.3970827283958594,500,-0.002491653409773183,,,
2555904,43.14,657,3885,52,0.7385556101799011,0.5562189817428589,0.0003,0.0024616518057882786,0.2,0.0035550606,0.010858604040792367,0.040022786458333334,-0.38369233066526554,510,-0.001858219120428354,,,
2605056,44.67,670,3884,53,0.7410276532173157,0.5645977258682251,0.0003,-0.0007179663516581059,0.2,0.0038169345,0.010847183331983009,0.047796630859375,-0.36867179727802674,520,-0.0024478021878773385,,,
2654208,40.94,683,3883,54,0.6940555572509766,0.5472185611724854,0.0003,-0.006097167730331421,0.2,0.003971841,0.010697052856024432,0.042704264322916664,-0.360071786865592,530,-0.0022697832668200136,,,
2703360,41.47,696,3882,55,0.7039999961853027,0.5325469374656677,0.0003,0.0009848633781075478,0.2,0.003229487,0.011229335438838462,0.0397705078125,-0.3541452309427162,540,-0.0021892551210839885,,,
2752512,42.37,709,3881,56,0.7174445390701294,0.5341783761978149,0.0003,-0.00018953485414385796,0.2,0.0038150928,0.011563354640869269,0.04416707356770833,-0.3529869438614696,550,-0.002744768775482953,,,
2801664,40.25,722,3880,57,0.7327221632003784,0.5604925155639648,0.0003,0.001687843818217516,0.2,0.00348496,0.010722644361279284,0.04107259114583333,-0.3445108216876785,560,-0.0017854900872407598,,,
2850816,39.94,734,3879,58,0.7550833225250244,0.5474424362182617,0.0003,-0.00639351736754179,0.2,0.0034315006,0.010777235583858177,0.03984375,-0.33638611109927297,570,-0.0018911113886739864,,,
2899968,42.34,747,3878,59,0.8243333697319031,0.5336488485336304,0.0003,0.00897333212196827,0.2,0.004207755,0.01122233550195233,0.04207967122395833,-0.33102324480811757,580,-0.002271542888350571,,,
2949120,41.65,760,3877,60,0.7295000553131104,0.5233799815177917,0.0003,0.001917338464409113,0.2,0.003386912,0.011633373348983393,0.03915812174479167,-0.3286232170804093,590,-0.00207121403424632,,,
2998272,39.56,773,3876,61,0.6527777910232544,0.5349839925765991,0.0003,0.005521152168512344,0.2,0.0038321775,0.010772206771798664,0.03689168294270833,-0.3204194231890142,600,-0.0016371646210548837,,,
3047424,53.97,788,3863,62,0.20250000059604645,0.5216819047927856,0.0003,0.010052187368273735,0.2,0.0035788675,0.012031209597626002,0.0369873046875,-0.327714145835489,610,-0.0018673012381744533,2,0.4,3000000
3096576,49.31,801,3864,63,0.23716667294502258,0.041743576526641846,0.0003,-0.008913419209420681,0.2,0.02360478,0.026028229670676712,0.11781209309895833,-0.4892892001351962,620,-0.009370342005210357,,,
3145728,50.61,813,3866,64,0.28416669368743896,0.2703205943107605,0.0003,-0.0017096186056733131,0.2,0.006667768,0.021489020697481466,0.08090006510416667,-0.5274144460912794,630,-0.0058871048195821155,,,
3194880,53.08,826,3867,65,0.4118611216545105,0.2861083745956421,0.0003,0.004864651709794998,0.2,0.0051476215,0.020193374322358675,0.075970458984375,-0.518710650332893,640,-0.005472436838802727,,,
3244032,55.9,838,3868,66,0.37672221660614014,0.2728953957557678,0.0003,-0.0013161366805434227,0.2,0.0063361353,0.02228930762503296,0.07630615234375,-0.4921462166899194,650,-0.005812822782960817,,,
3293184,54.64,850,3870,67,0.503000020980835,0.31313544511795044,0.0003,0.005920835770666599,0.2,0.006589291,0.022223293298641995,0.08273722330729166,-0.4858308081670354,660,-0.006590882808814058,,,
3342336,59.74,863,3871,68,0.5490555763244629,0.3750227689743042,0.0003,0.006068145856261253,0.2,0.0062905587,0.02232971448005022,0.08371785481770834,-0.45119077772833405,670,-0.00758665664795141,,,
3391488,52.27,875,3872,69,0.6209722757339478,0.3932422995567322,0.0003,0.004080619663000107,0.2,0.0056203143,0.022147297210176477,0.07628987630208334,-0.41374052916653453,680,-0.006596589068552324,,,
3440640,53.19,888,3873,70,0.661527693271637,0.4295211434364319,0.0003,0.0028690192848443985,0.2,0.005253531,0.02075930206240931,0.07613932291666667,-0.38033660350677867,690,-0.0063953713344138425,,,
3489792,45.76,900,3874,71,0.6558889150619507,0.45788460969924927,0.0003,0.008958240039646626,0.2,0.0046061478,0.01920736907874622,0.060546875,-0.3513251792639494,700,-0.0051348304420268205,,,
