time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,shield/actions_blocked,shield/actions_block_ignored,rollout/ep_len_mean,shield/actions_allowed,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,shield_cutoff_timestep
30,0.7652221918106079,3940,374,1474560,509639,0,43.14,761912,0.010260404232637181,0.0002774321474134922,-0.7188170358228186,0.2,0.4921409487724304,0.05319417317708333,290,-0.0022621549024430957,0.0003,0.0047695846,
31,0.748166561126709,3938,386,1523712,528793,0,41.67,790846,0.010952592779843447,0.008395349606871605,-0.706889073116084,0.2,0.5190013647079468,0.05309855143229167,300,-0.0024698431262246837,0.0003,0.0057833176,
32,0.7972500324249268,3936,399,1572864,548496,0,45.62,819320,0.010414692417301315,0.0027528535574674606,-0.7063947137755652,0.2,0.516340970993042,0.04915568033854167,310,-0.0019895853104875036,0.0003,0.005146723,
33,0.7664165496826172,3936,412,1622016,567315,0,38.89,848752,0.010472001835296396,0.0020655891858041286,-0.687591646766911,0.2,0.5106651782989502,0.04732666015625,320,-0.0019509767751515028,0.0003,0.005124287,
34,0.71958327293396,3935,424,1671168,585908,0,38.74,878407,0.011360336775396718,-0.00027785124257206917,-0.6743519198459883,0.2,0.5165765285491943,0.048878987630208336,330,-0.0020476043576612333,0.0003,0.005472526,
35,0.7387223839759827,3934,437,1720320,604317,0,38.01,908302,0.010688184423876616,-0.00248955050483346,-0.6597109999507665,0.2,0.5262418985366821,0.039007568359375,340,-0.0014490720076234234,0.0003,0.003984785,
36,0.7899166345596313,3933,449,1769472,623485,0,40.42,937520,0.011100890382416158,-0.01120997779071331,-0.6592021107363204,0.2,0.5117713212966919,0.042765299479166664,350,-0.00170652157648874,0.0003,0.0044015236,
37,0.7730832695960999,3931,462,1818624,642786,0,43.12,966458,0.010284538452106062,0.007745037321001291,-0.6660888530003528,0.2,0.5100286602973938,0.042388916015625,360,-0.0019431372464775146,0.0003,0.004447288,
38,0.7569444179534912,3930,475,1867776,661556,0,39.68,995926,0.010834246647815841,-0.010041666217148304,-0.6598128114826978,0.2,0.5056496858596802,0.043440755208333334,370,-0.0019379879606882847,0.0003,0.005022786,
39,0.7554444074630737,3928,488,1916928,680056,0,42.88,1025811,0.011099951368911813,0.005444221198558807,-0.6390120984986425,0.2,0.5189710855484009,0.04184366861979167,380,-0.001727838077385968,0.0003,0.0044700936,
40,0.7878888845443726,3924,500,1966080,699311,0,45.64,1054885,0.011098855339029493,0.009510498493909836,-0.6256543367169798,0.2,0.5174614191055298,0.036590576171875,390,-0.0013364343059947715,0.0003,0.0036559033,
41,0.7243888974189758,3919,514,2015232,718010,0,40.54,1084641,0.011223888677826229,0.007430294528603554,-0.6095947217506666,0.2,0.5226439237594604,0.047265625,400,-0.0022378222325035797,0.0003,0.0051492774,
42,0.8016667366027832,3915,527,2064384,736477,0,43.3,1114720,0.010635232104687021,0.004811471328139305,-0.6106005167588592,0.2,0.5253610610961914,0.04156901041666667,410,-0.0017696500012486164,0.0003,0.0048097116,
43,0.7515277862548828,3912,540,2113536,755103,0,41.31,1144612,0.01040858492294016,-0.0014907054137438536,-0.5957779344481726,0.2,0.5267113447189331,0.04166463216145833,420,-0.002041785212107546,0.0003,0.0050331317,
44,0.7629444599151611,3908,553,2162688,773485,0,44.36,1174645,0.01161692401462157,0.0020039118826389313,-0.6033792940278848,0.2,0.5118942260742188,0.03921915690104167,430,-0.0018186741515819449,0.0003,0.004665081,
45,0.8060000538825989,3904,566,2211840,792167,0,42.12,1204270,0.010848397832645181,0.00548931397497654,-0.6048964892203609,0.2,0.5205375552177429,0.03444620768229167,440,-0.0012073793682551089,0.0003,0.004445326,
46,0.7883055210113525,3901,579,2260992,811374,0,40.97,1233355,0.011660643143841298,0.00910341925919056,-0.6132212073542178,0.2,0.5124857425689697,0.03980305989583333,450,-0.0018061368491544272,0.0003,0.0046725743,
47,0.7972777485847473,3898,592,2310144,830108,0,41.51,1263064,0.011183025956900869,0.0015790383331477642,-0.6055104578534762,0.2,0.5204710960388184,0.042555745442708334,460,-0.0021346205795149823,0.0003,0.0047348402,
48,0.6968055963516235,3895,605,2359296,849461,0,40.09,1292077,0.011593677834510648,0.011513556353747845,-0.5950188204956551,0.2,0.5226405262947083,0.039774576822916664,470,-0.0019866061629727483,0.0003,0.004485911,
49,0.7870834469795227,3892,618,2408448,869191,0,42.43,1320635,0.011792315595812397,3.392435610294342e-05,-0.5869646230402092,0.2,0.5006353855133057,0.045013427734375,480,-0.002294240473687144,0.0003,0.004637986,
50,0.7638334035873413,3890,631,2457600,889134,0,39.86,1349136,0.011278014945128234,0.0024134591221809387,-0.5897754550290605,0.2,0.5021370649337769,0.042313639322916666,490,-0.001969409101548081,0.0003,0.005340472,
51,0.07127777487039566,3889,644,2506752,906631,0,46.09,1373378,0.01032550416033094,-0.007811217103153467,-0.577941001051416,0.2,0.5288515686988831,0.04107869466145833,500,-0.0018729751098362612,0.0003,0.0042424775,2500008
52,0.07002777606248856,3899,655,2555904,,,37.53,,0.01654310616043707,-0.0019688010215759277,-0.6044534208563467,0.2,0.4392629861831665,0.04788818359375,510,-0.0033030590708222007,0.0003,0.011917452,
53,0.08283333480358124,3913,665,2605056,,,53.66,,0.0223853187916878,0.015791090205311775,-0.7355938601618012,0.2,0.32635366916656494,0.137725830078125,520,-0.01140319330179409,0.0003,0.012383361,
54,0.14933332800865173,3926,675,2654208,,,48.91,,0.014737839414253055,8.920533582568169e-05,-0.7192891986730198,0.2,0.331217885017395,0.12055460611979167,530,-0.009001319359473807,0.0003,0.009284503,
55,0.20197221636772156,3940,686,2703360,,,61.21,,0.012780595165289317,-0.001567062921822071,-0.6888120937161147,0.2,0.33558082580566406,0.11357014973958333,540,-0.008692623982096848,0.0003,0.009025176,
56,0.23577778041362762,3953,696,2752512,,,48.14,,0.015254604511331612,-0.007458352018147707,-0.6567392381839454,0.2,0.315764844417572,0.10303548177083334,550,-0.0071916324099674965,0.0003,0.007512383,
57,0.4594722092151642,3965,706,2801664,,,58.77,,0.015937655912906242,0.002576506230980158,-0.6167459012630085,0.2,0.39798635244369507,0.104638671875,560,-0.008156356422720517,0.0003,0.0082791345,
58,0.45311108231544495,3977,716,2850816,,,49.01,,0.01743563469402337,0.007359626702964306,-0.5908954434717695,0.2,0.4572579264640808,0.09693196614583334,570,-0.00697263154409787,0.0003,0.006966591,
59,0.49930548667907715,3989,726,2899968,,,57.41,,0.016832905352930538,-0.007109516300261021,-0.5623713653845092,0.2,0.49786168336868286,0.083245849609375,580,-0.00591529930394851,0.0003,0.0057541695,
60,0.553694486618042,4001,737,2949120,,,55.74,,0.016655088656019265,-0.004726053215563297,-0.5255132872300844,0.2,0.5330928564071655,0.08584391276041667,590,-0.00585597666765049,0.0003,0.00620709,
61,0.47877776622772217,4012,747,2998272,,,45.41,,0.01594206619580897,0.003060160204768181,-0.4997789867998411,0.2,0.5563650131225586,0.083819580078125,600,-0.006006106125884495,0.0003,0.0060907654,
62,0.6427222490310669,4023,757,3047424,,,47.08,,0.016610741656525835,0.009630870074033737,-0.48114480877605575,0.2,0.563014030456543,0.07889404296875,610,-0.005573535662915674,0.0003,0.0057398104,
63,0.5941111445426941,4034,767,3096576,,,47.99,,0.016105083836979853,0.008820700459182262,-0.4365925348829478,0.2,0.5514046549797058,0.07874959309895833,620,-0.005817777209207027,0.0003,0.0053699934,
64,0.6909999847412109,4045,777,3145728,,,42.89,,0.014809222592642375,-0.007087081670761108,-0.3980464195522169,0.2,0.5576044321060181,0.073443603515625,630,-0.005297575894898424,0.0003,0.006997824,
65,0.7073889970779419,4055,787,3194880,,,43.35,,0.0142597021869733,-0.00040314439684152603,-0.37655861844929556,0.2,0.5550585985183716,0.061669921875,640,-0.004258213925822929,0.0003,0.0046750633,
66,0.6931667327880859,4065,797,3244032,,,46.14,,0.01324001440104136,-0.0006804945878684521,-0.3484126476260523,0.2,0.5553545355796814,0.058563232421875,650,-0.004070588784331145,0.0003,0.0043598353,
67,0.6933332681655884,4075,808,3293184,,,41.46,,0.014257610068792321,0.004734912887215614,-0.31361234753082196,0.2,0.5103694796562195,0.04837443033854167,660,-0.002605065779425786,0.0003,0.003619018,
68,0.7165554761886597,4085,818,3342336,,,40.45,,0.013264011117765524,0.006227071862667799,-0.2875535714440048,0.2,0.5199428796768188,0.04788411458333333,670,-0.0027128194503044747,0.0003,0.0038676925,
69,0.7474444508552551,4094,828,3391488,,,42.72,,0.014381913421675562,0.002740174997597933,-0.2703447862217824,0.2,0.5097169876098633,0.04403889973958333,680,-0.0022493547368867437,0.0003,0.0036025606,
70,0.6936109662055969,4103,838,3440640,,,41.07,,0.012819206140799603,0.0014133881777524948,-0.2473311008575062,0.2,0.5248275995254517,0.035196940104166664,690,-0.0022512003844288603,0.0003,0.003523572,
71,0.7474445104598999,4112,848,3489792,,,41.04,,0.013193328262908229,0.00542796915397048,-0.23547639979515225,0.2,0.5119081735610962,0.035872395833333334,700,-0.0017522065312732594,0.0003,0.0033961826,
72,0.8157776594161987,4121,858,3538944,,,41.68,,0.013088287473995782,-0.009304420091211796,-0.22915323764706652,0.2,0.5063557624816895,0.03256429036458333,710,-0.0017661596193041381,0.0003,0.0037764076,
73,0.7412778735160828,4130,868,3588096,,,41.24,,0.013200321555389867,0.0030242938082665205,-0.21398692917233955,0.2,0.5094282031059265,0.027392578125,720,-0.0013049547577187088,0.0003,0.0029634268,
74,0.7639999985694885,4138,878,3637248,,,40.04,,0.013022871188392552,0.010665209963917732,-0.20144065192434937,0.2,0.49718278646469116,0.026277669270833335,730,-0.000998388583260142,0.0003,0.0032153174,
75,0.6758610606193542,4146,889,3686400,,,36.72,,0.013135156565598056,0.004602841567248106,-0.19451772511626284,0.2,0.4999042749404907,0.026310221354166666,740,-0.0016465736093171776,0.0003,0.0037176677,
76,0.7547500133514404,4154,899,3735552,,,40.29,,0.013678066019686715,0.0016037970781326294,-0.19077189408708364,0.2,0.5041943788528442,0.027036539713541665,750,-0.0014199338866698477,0.0003,0.0033701828,
77,0.7842221260070801,4162,909,3784704,,,39.17,,0.012754086723483245,0.002105487510561943,-0.1887060645928917,0.2,0.5187524557113647,0.022330729166666667,760,-0.0011690234025081736,0.0003,0.0034264356,
78,0.7818055152893066,4169,919,3833856,,,41.13,,0.013884968212126599,0.0031897560693323612,-0.18909441611419123,0.2,0.486355185508728,0.021201578776041667,770,-0.0010607487098241108,0.0003,0.0034143226,
79,0.7670276761054993,4177,929,3883008,,,38.58,,0.01364251434642938,0.002928806934505701,-0.18601424545049666,0.2,0.4854673147201538,0.02611083984375,780,-0.001484710942319604,0.0003,0.0026599157,
80,0.7662221789360046,4184,939,3932160,,,42.86,,0.012567254723641478,0.00987495481967926,-0.17492469468464453,0.2,0.501713752746582,0.02314453125,790,-0.001252209885327223,0.0003,0.0029441288,
81,0.7933334112167358,4190,950,3981312,,,39.2,,0.013319366096159987,0.0018077176064252853,-0.17876528987350562,0.2,0.4845520257949829,0.024678548177083332,800,-0.0018993760741674729,0.0003,0.0043807016,
82,0.7605833411216736,4195,960,4030464,,,38.8,,0.013411205638355265,0.0023421086370944977,-0.17789004083024337,0.2,0.49540168046951294,0.024367268880208334,810,-0.001461376699626271,0.0003,0.004849171,
83,0.7938889265060425,4201,971,4079616,,,39.48,,0.012494936529158925,0.006418319419026375,-0.18029271089471877,0.2,0.500533401966095,0.026611328125,820,-0.001813074917178407,0.0003,0.0033018321,
84,0.7123889923095703,4206,981,4128768,,,37.68,,0.013172432896923662,0.00504677090793848,-0.17357425693577777,0.2,0.49825072288513184,0.025897216796875,830,-0.0016305707077966267,0.0003,0.0035355303,
85,0.6993889808654785,4211,992,4177920,,,36.33,,0.01262581322225742,0.0005370751023292542,-0.1735095192755883,0.2,0.5055969953536987,0.02337646484375,840,-0.0014892621256270408,0.0003,0.0020068316,
86,0.7789167165756226,4216,1002,4227072,,,41.9,,0.012734002553770551,0.001321248710155487,-0.16537529465276748,0.2,0.5189731121063232,0.021634928385416665,850,-0.0014158322003519667,0.0003,0.0035498545,
87,0.7281944155693054,4222,1012,4276224,,,35.98,,0.01273350061965175,-1.2421980500221252e-05,-0.16206727401198198,0.2,0.5078725814819336,0.019807942708333335,860,-0.0010164565848147808,0.0003,0.003512663,
88,0.7704723477363586,4228,1022,4325376,,,42.32,,0.013533655126472392,0.009491444565355778,-0.17307919246765474,0.2,0.4793080687522888,0.02496337890625,870,-0.0017722476102183767,0.0003,0.004739811,
89,0.7330000400543213,4233,1033,4374528,,,42.65,,0.013274611827364424,0.004061754792928696,-0.16342145157201837,0.2,0.49090832471847534,0.021820068359375,880,-0.0013407712352848952,0.0003,0.0023738514,
90,0.7388333082199097,4237,1043,4423680,,,41.37,,0.012741198275277081,-0.0008964701555669308,-0.1537005617089259,0.2,0.5011712312698364,0.021343994140625,890,-0.0013865338508670295,0.0003,0.0037273143,
91,0.734916627407074,4242,1054,4472832,,,40.31,,0.012987548453626612,0.009045629762113094,-0.1532140968600288,0.2,0.4921855926513672,0.020161946614583332,900,-0.0012658952924539334,0.0003,0.0021619757,
92,0.7319722771644592,4248,1064,4521984,,,38.49,,0.011285977932372286,0.005120268557220697,-0.14310601473165055,0.2,0.5183974504470825,0.019590250651041665,910,-0.0013656316163481582,0.0003,0.003243355,
93,0.7540833950042725,4254,1074,4571136,,,40.2,,0.012411006238107803,-0.003270016983151436,-0.16018939125351608,0.2,0.4954196810722351,0.030548095703125,920,-0.0023994395799491032,0.0003,0.0042619132,
94,0.7469167113304138,4259,1084,4620288,,,39.57,,0.012334798818240717,0.007427642121911049,-0.173217529625011,0.2,0.5100405216217041,0.023451741536458334,930,-0.0014795282325091345,0.0003,0.0022830602,
95,0.6863056421279907,4265,1094,4669440,,,36.62,,0.012602875120743798,0.0020487215369939804,-0.1636165853240527,0.2,0.5192420482635498,0.021514892578125,940,-0.0013051794400477472,0.0003,0.0024204792,
96,0.7947777509689331,4270,1104,4718592,,,39.16,,0.011887055715245272,0.003339851275086403,-0.1684834158940551,0.2,0.5143597722053528,0.022467041015625,950,-0.0015096194620734119,0.0003,0.0041917,
97,0.7759166955947876,4276,1114,4767744,,,39.01,,0.011985895243318131,-0.0043298788368701935,-0.18068480934792508,0.2,0.49640244245529175,0.025551350911458333,960,-0.001635147326214792,0.0003,0.0054614455,
98,0.7899444699287415,4280,1125,4816896,,,41.59,,0.012570383927231888,0.007361286319792271,-0.18990290621295572,0.2,0.5008311867713928,0.025758870442708335,970,-0.0014547678649250884,0.0003,0.003202266,
99,0.7552778720855713,4284,1135,4866048,,,39.39,,0.013350899350189138,0.005634269677102566,-0.18569062757305801,0.2,0.4918525218963623,0.0226806640625,980,-0.0011635699076578021,0.0003,0.002338211,
100,0.757444441318512,4288,1146,4915200,,,38.75,,0.013419656241118598,0.008544238284230232,-0.17998261040387054,0.2,0.5085556507110596,0.020758056640625,990,-0.0010920924655996108,0.0003,0.0026570288,
101,0.788361132144928,4292,1156,4964352,,,41.36,,0.011608937891287497,0.002291855402290821,-0.17090596701018512,0.2,0.5226653814315796,0.019403076171875,1000,-0.0012491588765745595,0.0003,0.002380542,
102,0.795722246170044,4295,1167,5013504,,,38.46,,0.01274088084634665,0.0055812206119298935,-0.16919410611347604,0.2,0.5100141763687134,0.021169026692708332,1010,-0.001476271467799961,0.0003,0.003341035,
