time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,shield_cutoff_timestep
6,0.027071427553892136,1,7132,49152,234.66,,,,,,,,,,,
17,0.04489285871386528,2,5673,98304,237.01,1.1143580195493996e-05,10,0.0003,0.055985514322916666,-0.00295387845235382,0.00040622119385318455,0.012206718,-0.10235309600830078,0.2,-1.9365788363541165,
27,0.08628571778535843,3,5343,147456,232.26,-0.012944718822836876,20,0.0003,0.049200439453125,-0.0027570129355202273,0.00041890821191685744,0.0073545855,0.17825055122375488,0.2,-1.9301289454102517,
37,0.18203571438789368,4,5176,196608,211.43,-0.003207583911716938,30,0.0003,0.07272745768229166,-0.004744916850540903,0.0008732967543323867,0.009188195,0.2945593595504761,0.2,-1.9245167145505548,
48,0.37989285588264465,5,5082,245760,158.94,-0.0009258604841306806,40,0.0003,0.111627197265625,-0.00799653002662429,0.0026129974705327184,0.010890901,0.36892378330230713,0.2,-1.9019456271082162,
58,0.5858571529388428,6,5011,294912,96.74,-0.006200642324984074,50,0.0003,0.122296142578125,-0.009930205569435201,0.005283037735474257,0.011618386,0.47902804613113403,0.2,-1.8605399175857504,
68,0.28221428394317627,7,5014,344064,72.63,0.0025874022394418716,60,0.0003,0.15949910481770832,-0.013801419736955723,0.009536659868899733,0.01273677,0.5626628994941711,0.2,-1.7877916381383936,301056
78,0.4013214409351349,8,5019,393216,64.81,-0.02233710139989853,70,0.0003,0.1651611328125,-0.014244542435577993,0.012706753849003386,0.016764233,0.38446754217147827,0.2,-1.7292009649798274,
87,0.6378928422927856,9,5031,442368,51.39,-0.023437466472387314,80,0.0003,0.17113037109375,-0.017586584267943788,0.017883585348802928,0.016009314,0.4618638753890991,0.2,-1.6360822315017383,
97,0.7042856812477112,10,5045,491520,44.52,-0.020673267543315887,90,0.0003,0.19798177083333332,-0.01771855272315103,0.019124599878947872,0.014519547,0.5145007371902466,0.2,-1.4935075869162877,
109,0.7683570981025696,11,4947,540672,38.43,0.0005870657041668892,100,0.0003,0.20392862955729166,-0.016915009270269364,0.016681121207754283,0.015702562,0.5336340665817261,0.2,-1.3377330226202806,
118,0.8335714936256409,12,4967,589824,36.23,-0.016522690653800964,110,0.0003,0.184942626953125,-0.015313371024118776,0.013451486787137886,0.013148103,0.524160623550415,0.2,-1.1519952073693276,
128,0.8308571577072144,13,4982,638976,30.85,0.008549715392291546,120,0.0003,0.1472412109375,-0.010253526572826861,0.010833339286182308,0.010833736,0.48611289262771606,0.2,-0.9836477276869118,
137,0.8482499718666077,14,4995,688128,28.81,-0.009659732691943645,130,0.0003,0.13238728841145833,-0.009071200475348935,0.007258674674812937,0.0097199315,0.4965655207633972,0.2,-0.8166219769977033,
147,0.8957143425941467,15,5005,737280,29.2,-0.005202069878578186,140,0.0003,0.10510457356770833,-0.007485634742624825,0.006071568305317973,0.007290542,0.48938632011413574,0.2,-0.694356469810009,
157,0.8841785192489624,16,5008,786432,26.88,-0.0010053436271846294,150,0.0003,0.08614705403645834,-0.0054129264781295205,0.004809795309665787,0.0070119663,0.49793875217437744,0.2,-0.5945863155958553,
166,0.9036428928375244,17,5005,835584,26.98,0.0017158566042780876,160,0.0003,0.065411376953125,-0.004044727293573184,0.004635560974869198,0.0044461438,0.4862891435623169,0.2,-0.523161519660304,
176,0.8873571753501892,18,5002,884736,26.22,0.0013567060232162476,170,0.0003,0.057356770833333334,-0.003046531301849124,0.005233675050355184,0.003956924,0.44326138496398926,0.2,-0.44810589457241196,
186,0.8808928728103638,19,5000,933888,25.14,0.005936537403613329,180,0.0003,0.04798177083333333,-0.0025241966852869763,0.0055372436140411685,0.0037657171,0.419858455657959,0.2,-0.39359595271137854,
198,0.8842143416404724,20,4945,983040,24.36,0.007965993136167526,190,0.0003,0.047515869140625,-0.002203275154564229,0.004889765563408825,0.0032645613,0.4465939998626709,0.2,-0.3505752193275839,
210,0.8975715041160583,21,4900,1032192,25.9,-0.0030879839323461056,200,0.0003,0.03875528971354167,-0.0019181168733969874,0.005450777689172052,0.0029829098,0.41129183769226074,0.2,-0.3110227686818689,
220,0.9026072025299072,22,4907,1081344,24.57,0.0009792912751436234,210,0.0003,0.037333170572916664,-0.0018955237066620612,0.005533881553977456,0.0028803386,0.4111010432243347,0.2,-0.28375314737980567,
230,0.8566070795059204,23,4909,1130496,23.94,-0.0069302222691476345,220,0.0003,0.035078938802083334,-0.002270295705602621,0.004675307928907083,0.0029856507,0.4255251884460449,0.2,-0.23989469187799842,
