rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/entropy_loss
27.675675675675677,3,2048,0.007479945945945946,1,540,,,,,,,,,,
30.42,13,4096,0.0,2,307,-0.006743370550975669,0.0003,0.0947265625,0.011104551,0.012393474578857422,10,0.2,-0.007100348360836506,0.0007129938445018524,-1.9390457216650248
35.73,22,6144,0.0,3,272,-0.00944264284626115,0.0003,0.13642578125,0.016101092,-0.23414576053619385,20,0.2,-0.0274245273321867,0.00014998593251149827,-1.911115698888898
42.43,33,8192,0.0,4,247,-0.007071038474896341,0.0003,0.10341796875,0.013963496,0.5471099615097046,30,0.2,-0.002203685464337468,7.772440403073234e-05,-1.8723676193505525
37.86,44,10240,0.0,5,231,-0.00840094797022175,0.0003,0.11455078125,0.013813109,0.4535849690437317,40,0.2,0.02478730119764805,4.658218603239561e-05,-1.8688275013118982
24.81,55,12288,0.0,6,222,-0.008598749348311684,0.0003,0.08896484375,0.012631429,0.11685162782669067,50,0.2,-0.014636741019785404,1.7233409666417288e-05,-1.8727352414280176
18.42,66,14336,0.0,7,216,-0.010029253737593535,0.0003,0.11416015625,0.014691254,-0.31771039962768555,60,0.2,-0.04946206510066986,1.2564268371129117e-05,-1.8950856663286686
23.85,76,16384,0.0,8,213,-0.0027233187392994296,0.0003,0.0623046875,0.01112929,-1.2979683876037598,70,0.2,-0.02990136481821537,1.2826665268406145e-05,-1.8779401808977128
29.96,87,18432,0.00395312,9,211,-0.009037033159984276,0.0003,0.092626953125,0.013404317,-0.039017319679260254,80,0.2,-0.03219742327928543,1.450390446287031e-05,-1.8379198659211398
41.96,98,20480,0.00395312,10,208,-0.004991972054995131,0.0003,0.1203125,0.012273238,0.20310044288635254,90,0.2,-0.02460477687418461,0.0004124919212145528,-1.8230824392288922
39.2,107,22528,0.0,11,208,-0.0020104179544432554,0.0003,0.039892578125,0.006951037,-0.009441614151000977,100,0.2,-0.027926933020353317,9.276133225313287e-05,-1.815475596114993
34.93,117,24576,0.0,12,209,-0.007716930674359901,0.0003,0.183349609375,0.01649936,0.47683584690093994,110,0.2,0.0309048630297184,7.856943773170144e-05,-1.7286791529506444
30.2,126,26624,0.0,13,210,-0.009312706626951694,0.0003,0.08427734375,0.009232694,0.03252500295639038,120,0.2,-0.015316259115934372,1.9323842339602493e-05,-1.7462130207568407
28.21,136,28672,0.00233594,14,209,-0.008414473594893935,0.0003,0.127734375,0.014110003,0.008422136306762695,130,0.2,-0.03171372041106224,1.6871568556808826e-05,-1.7414295740425587
32.35,147,30720,0.00233594,15,208,-0.005967135042010341,0.0003,0.110498046875,0.0098653,0.38866013288497925,140,0.2,-0.0005257747834548354,0.00022593456616277764,-1.771656783297658
24.85,159,32768,0.0,16,205,-0.0034440199757227673,0.0003,0.0697265625,0.00972949,-1.8010039329528809,150,0.2,-0.011159435845911503,3.5198925208757004e-05,-1.711629419028759
24.24,169,34816,0.0,17,205,-0.013096440614754101,0.0003,0.1244140625,0.013467299,-0.09443747997283936,160,0.2,-0.004502713214606047,5.424797061266417e-05,-1.7225793037563562
23.43,178,36864,0.00641406,18,206,-0.010165569008677267,0.0003,0.09130859375,0.010283113,-0.3190133571624756,170,0.2,-0.0080243656411767,2.0702809783301747e-05,-1.7209819596260787
23.06,187,38912,0.00746875,19,207,-0.005541799494676525,0.0003,0.116357421875,0.01385416,0.07234048843383789,180,0.2,-0.03664878383278847,0.0014009960477153528,-1.706186879426241
23.66,198,40960,0.00746875,20,206,-0.00529974511518958,0.0003,0.093701171875,0.014966139,0.20057708024978638,190,0.2,0.0007048879633657634,0.0015136254803735482,-1.7371592182666062
25.6,209,43008,0.0,21,205,-0.00396038087164925,0.0003,0.0900390625,0.011163342,0.776634931564331,200,0.2,-0.022088516503572464,0.0009012363975841708,-1.7333060175180435
22.45,220,45056,0.0,22,204,-0.0030609759014623705,0.0003,0.07861328125,0.014226722,-2.7276439666748047,210,0.2,0.008601692505180836,0.0005700584116993923,-1.7611332219094038
16.55,231,47104,0.0,23,203,-0.0029664577494258994,0.0003,0.071630859375,0.008923084,-1.4253647327423096,220,0.2,-0.015274067409336567,0.00018667980270947737,-1.7738496277481317
15.43,240,49152,0.0,24,204,-0.01912235752097331,0.0003,0.1203125,0.017888933,-1.165086269378662,230,0.2,-0.04719981551170349,1.9746245776275373e-05,-1.7379290856420995
13.99,250,51200,0.0,25,204,-0.00799349090520991,0.0003,0.087158203125,0.012576255,0.07835066318511963,240,0.2,0.004672438837587833,0.0008809241982788762,-1.7247359741479158
19.57,259,53248,0.0,26,204,-0.008082704809930874,0.0003,0.1337890625,0.031650282,-0.6809742450714111,250,0.2,-0.07522959262132645,0.00010632406559238917,-1.7013135243207216
17.59,268,55296,0.0,27,205,-0.012357190536567942,0.0003,0.1521484375,0.043111406,-3.063253402709961,260,0.2,-0.049907855689525604,6.821585969305489e-05,-1.7048267517238855
11.69,278,57344,0.0,28,206,-0.00823393373939325,0.0003,0.124658203125,0.014395269,-1.2134954929351807,270,0.2,-0.039868008345365524,3.6798515591840444e-05,-1.7050966124981641
13.35,288,59392,0.0,29,205,-0.007624498096993193,0.0003,0.135888671875,0.017451601,-0.7186346054077148,280,0.2,-0.025843746960163116,2.5251615761590072e-05,-1.6786026891320944
